,Cliente,UF,Ano da Operação,Valor da Operação em R$,Valor Desembolsado em Reais,Setor CNAE,Subsetor CNAE Agrupado,Porte do cliente,Natureza,Instituição Financeira Credenciada
2,"MINERVA S,A,", SP,2002-01-01,7028400,7035625.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BOSTON NEGOCIOS E PARTICIPACOES LTDA,"
3,"MINERVA S,A,", SP,2002-01-01,7028400,7035625.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BOSTON NEGOCIOS E PARTICIPACOES LTDA,"
4,FRUTIVITA S/A, PE,2002-01-01,485967,486416.0,AGROPECUÁRIA E PESCA,Agropecuária,PEQUENA,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,"
5,CALCADOS CHICARONI LTDA, SP,2002-01-01,120469,120618.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",MÉDIA,PRIVADA,"BANCO FIBRA S,A,"
6,"MINERVA S,A,", SP,2002-01-01,4758800,4765159.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,"
7,KEPLER WEBER SA, RS,2002-01-01,1208400,1209517.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"BANCO UNICO S,A,"
8,KEPLER WEBER SA, RS,2002-01-01,1208400,1210638.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"BANCO BRADESCO S,A,"
9,KEPLER WEBER SA, RS,2002-01-01,2416800,2420776.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,"
10,SANRISIL S/A INDUSTRIA E COMERCIO, SP,2002-01-01,4838859,5825563.0,INDUSTRIA DE TRANSFORMAÇÃO,"Farmoquímico, farmacêutico",MÉDIA,PRIVADA,"BANCO ABC BRASIL S,A,"
11,TUPY S/A, SP,2002-01-01,11933500,11949448.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
12,"BRF S,A,", SC,2002-01-01,59667500,59747241.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO BRADESCO S,A,"
13,"BRF S,A,", SC,2002-01-01,59102500,59175408.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,BANCO DO BRASIL SA
14,SAMSUNG SDI BRASIL LTDA, AM,2002-01-01,30733300,30768037.0,INDUSTRIA DE TRANSFORMAÇÃO,"Equip info, eletronico, ótico",GRANDE,PRIVADA,"ITAU UNIBANCO S,A,"
15,MARICULTURA TROPICAL LTDA, RN,2002-01-01,5916750,5943001.0,AGROPECUÁRIA E PESCA,Agropecuária,GRANDE,PRIVADA,MASSA FALIDA DO BANCO SANTOS
16,FRIGOESTRELA S/A, SP,2002-01-01,4846800,4860302.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,MASSA FALIDA DO BANCO SANTOS
17,FRIGOESTRELA S/A, SP,2002-01-01,2423400,2431651.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO RURAL S,A - EM LIQUIDACAO EXTRAJUDICIAL"
18,MARINE - MARICULTURA DO NORDESTE S A, PE,2002-01-01,2723320,2727703.0,AGROPECUÁRIA E PESCA,Agropecuária,MÉDIA,PRIVADA,"BANCO RURAL S,A - EM LIQUIDACAO EXTRAJUDICIAL"
19,CIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA, MG,2002-01-01,7315200,7330294.0,INDUSTRIA DE TRANSFORMAÇÃO,Têxtil,GRANDE,PRIVADA,"BOSTON NEGOCIOS E PARTICIPACOES LTDA,"
20,PAQUETA CALCADOS LTDA, SP,2002-01-01,7268400,7290884.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"ITAU UNIBANCO S,A,"
21,ADAMI SA MADEIRAS, SC,2002-01-01,2422800,2352000.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,"
22,ALLIAGE S/A INDUSTRIAS MEDICO ODONTOLOGICA, SP,2002-01-01,847490,850723.0,INDUSTRIA DE TRANSFORMAÇÃO,"Farmoquímico, farmacêutico",GRANDE,PRIVADA,BANCO RIBEIRAO PRETO S/A
23,SOUTH SERVICE TRADING SA, RS,2002-01-01,8474900,8282050.0,COMERCIO E SERVICOS,Comércio,GRANDE,PRIVADA,"BANCO ITAUBANK S,A"
24,PAQUETA CALCADOS LTDA, SP,2002-01-01,4938200,4949902.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"ITAU UNIBANCO S,A,"
25,PEVAL S A, BA,2002-01-01,747198,748506.0,INDUSTRIA DE TRANSFORMAÇÃO,Mineral não metálico,MÉDIA,PRIVADA,MASSA FALIDA DO BANCO SANTOS
26,EXPORTADORA BOM RETIRO LTDA, RS,2002-01-01,2424100,2434471.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,"
27,JBS EMBALAGENS METALICAS LTDA, SP,2002-01-01,11466000,11490785.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,BANCO DO BRASIL SA
28,PAQUETA CALCADOS LTDA, SP,2002-01-01,4854600,4870092.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,"
29,FRS S/A AGRO AVICOLA INDUSTRIAL, RS,2002-01-01,19249600,19295154.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,MASSA FALIDA DO BANCO SANTOS
30,NETUNO ALIMENTOS S/A EM RECUPERACAO JUDICIAL, PE,2002-01-01,5534260,5547357.0,COMERCIO E SERVICOS,Comércio,GRANDE,PRIVADA,"BOSTON NEGOCIOS E PARTICIPACOES LTDA,"
31,PAQUETA CALCADOS LTDA, SP,2002-01-01,2394700,2398642.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"BANCO ALFA DE INVESTIMENTO S,A,"
32,PAQUETA CALCADOS LTDA, SP,2002-01-01,3574050,3581771.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,"
33,JBS EMBALAGENS METALICAS LTDA, SP,2002-01-01,11913500,11940462.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,MASSA FALIDA DO BANCO SANTOS
34,CERAMARTE LIMITADA, SC,2002-01-01,726068,713239.0,INDUSTRIA DE TRANSFORMAÇÃO,Mineral não metálico,MÉDIA,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,"
35,LAR COOPERATIVA AGROINDUSTRIAL, PR,2002-01-01,4765400,4791053.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,BANCO CITIBANK S A
36,LAR COOPERATIVA AGROINDUSTRIAL, PR,2002-01-01,4696400,4712245.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO"
37,NETUNO ALIMENTOS S/A EM RECUPERACAO JUDICIAL, PE,2002-01-01,2113380,2117728.0,COMERCIO E SERVICOS,Comércio,GRANDE,PRIVADA,"MASSA FALIDA DO BANCO BVA S,A,"
38,SOUTH SERVICE TRADING SA, RS,2002-01-01,2359600,2302200.0,COMERCIO E SERVICOS,Comércio,GRANDE,PRIVADA,BANCO DO BRASIL SA
39,LAR COOPERATIVA AGROINDUSTRIAL, PR,2002-01-01,5858000,5868239.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,"
40,PAQUETA CALCADOS LTDA, SP,2002-01-01,2343200,2347055.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,"
41,PAQUETA CALCADOS LTDA, SP,2002-01-01,4686400,4697488.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"BANCO UNICO S,A,"
42,PAQUETA CALCADOS LTDA, SP,2002-01-01,3524400,3536723.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"BANCO BRADESCO S,A,"
43,PAQUETA CALCADOS LTDA, SP,2002-01-01,2336800,2347060.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"BANCO ABC BRASIL S,A,"
44,TEXTIL DALUTEX LTDA, SP,2002-01-01,238840,236100.0,INDUSTRIA DE TRANSFORMAÇÃO,Têxtil,MÉDIA,PRIVADA,"BANCO FIBRA S,A,"
45,SERRARIAS CAMPOS DE PALMAS SA, PR,2002-01-01,4764376,4781856.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MÉDIA,PRIVADA,MASSA FALIDA DO BANCO SANTOS
46,ELDORADO EXPORT MADEIRAS LTDA, PR,2002-01-01,608002,609510.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MICRO,PRIVADA,"ITAU UNIBANCO S,A,"
47,CONFAB INDUSTRIAL SOCIEDADE ANONIMA, SP,2002-01-01,7052400,7063876.0,INDUSTRIA DE TRANSFORMAÇÃO,Metalurgia,GRANDE,PRIVADA,"BANCO UNICO S,A,"
48,CONFAB INDUSTRIAL SOCIEDADE ANONIMA, SP,2002-01-01,11754000,11780575.0,INDUSTRIA DE TRANSFORMAÇÃO,Metalurgia,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,"
49,CONFAB INDUSTRIAL SOCIEDADE ANONIMA, SP,2002-01-01,4701600,4712230.0,INDUSTRIA DE TRANSFORMAÇÃO,Metalurgia,GRANDE,PRIVADA,BANCO DO BRASIL SA
50,GRANIPEX COMERCIO IMPORTACAO E EXPORTACAO LTDA, RJ,2002-01-01,480315,473450.0,INDUSTRIA DE TRANSFORMAÇÃO,Mineral não metálico,MICRO,PRIVADA,"MASSA FALIDA DO BANCO BVA S,A,"
51,ELEVA ALIMENTOS S/A, RS,2002-01-01,23641000,23739103.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,"
52,ELEVA ALIMENTOS S/A, RS,2002-01-01,11820500,11887742.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO BRADESCO S,A,"
53,SOUTH SERVICE TRADING SA, RS,2002-01-01,3600750,3533700.0,COMERCIO E SERVICOS,Comércio,GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,"
54,ELEVA ALIMENTOS S/A, RS,2002-01-01,11685500,11749549.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,BANCO DO BRASIL SA
55,ELEVA ALIMENTOS S/A, RS,2002-01-01,23371000,23463140.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,"
56,SANOPLAST INDUSTRIA E COMERCIO DE PLASTICOS LTDA - ME, SP,2002-01-01,50139,49712.0,INDUSTRIA DE TRANSFORMAÇÃO,Borracha e plástico,MICRO,PRIVADA,BANCO DO BRASIL SA
57,MURI ENGENHARIA INDUSTRIAL LTDA, RS,2002-01-01,5383145,5519445.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,MÉDIA,PRIVADA,"BANCO VOTORANTIM S,A,"
58,"CERAMICA PORTO FERREIRA S,A,", SP,2002-01-01,1018900,1021663.0,INDUSTRIA DE TRANSFORMAÇÃO,Mineral não metálico,MÉDIA,PRIVADA,"BANCO RURAL S,A - EM LIQUIDACAO EXTRAJUDICIAL"
59,SCHULZ S/A, SC,2002-01-01,2284200,2288743.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,"
60,ELLEN METALURGICA E CROMEACAO LIMITADA, SP,2002-01-01,232257,240219.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",MÉDIA,PRIVADA,"BANCO FIBRA S,A,"
61,SCHULZ S/A, SC,2002-01-01,2270900,2275005.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,"
62,ITM LATIN AMERICA INDUSTRIA DE PECAS PARA TRATORES LTDA, SP,2002-01-01,4035571,4043226.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"BANCO SAFRA S,A,"
63,JOSE NILDO VIEIRA, RN,2002-01-01,52151,54386.0,AGROPECUÁRIA E PESCA,Agropecuária,PEQUENA,PRIVADA,AGENCIA DE FOMENTO DO RIO GRANDE DO NORTE S/A
64,LAYFF KOSMETIC LTDA, MG,2002-01-01,1422527,1428050.0,INDUSTRIA DE TRANSFORMAÇÃO,Química,MÉDIA,PRIVADA,"MASSA FALIDA DO BANCO BVA S,A,"
65,ITM LATIN AMERICA INDUSTRIA DE PECAS PARA TRATORES LTDA, SP,2002-01-01,4669400,4682470.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,"
66,INDUSTRIA E COMERCIO DE CALCADOS MARXANDER LTDA, SP,2002-01-01,120385,120995.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",MICRO,PRIVADA,BANCO LUSO BRASILEIRO S/A
67,PISTACHE CONFECCOES LTDA, RJ,2002-01-01,963083,965343.0,INDUSTRIA DE TRANSFORMAÇÃO,Têxtil,MICRO,PRIVADA,"MASSA FALIDA DO BANCO BVA S,A,"
68,"SIMETALL IND, COM, FERRAMENTAS LTDA,", RS,2002-01-01,244115,245041.0,INDUSTRIA DE TRANSFORMAÇÃO,Produto de metal,MÉDIA,PRIVADA,BANCO DO BRASIL SA
69,JBS S/A, SP,2002-01-01,18846400,18875312.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,MASSA FALIDA DO BANCO SANTOS
70,"MINERVA S,A,", SP,2002-01-01,2355800,2361115.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO FIBRA S,A,"
71,"MINERVA S,A,", SP,2002-01-01,2355800,2361115.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO ITAUBANK S,A"
72,TBM - TEXTIL BEZERRA DE MENEZES S/A, CE,2002-01-01,1624112,1626604.0,INDUSTRIA DE TRANSFORMAÇÃO,Têxtil,GRANDE,PRIVADA,"BANCO BRADESCO S,A,"
73,XINGULEDER COUROS LTDA, MG,2002-01-01,4737800,4778105.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,BANCO INDUSTRIAL DO BRASIL S/A
74,XINGULEDER COUROS LTDA, MG,2002-01-01,5922250,5951709.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"MASSA FALIDA DO BANCO BVA S,A,"
75,FRANCO FABRIL - ALIMENTOS LTDA, SP,2002-01-01,9475600,9496120.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,SEM NOME
76,FRANCO FABRIL - ALIMENTOS LTDA, SP,2002-01-01,4737800,4754051.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,BANCO LUSO BRASILEIRO S/A
77,FRUTIVITA S/A, PE,2002-01-01,425312,426926.0,AGROPECUÁRIA E PESCA,Agropecuária,PEQUENA,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,"
78,TBM - TEXTIL BEZERRA DE MENEZES S/A, CE,2002-01-01,1664856,1669360.0,INDUSTRIA DE TRANSFORMAÇÃO,Têxtil,GRANDE,PRIVADA,BANCO PINE S/A
79,PINCEIS ATLAS S/A, RS,2002-01-01,1216350,1222402.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos diversos,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,"
80,EXIN INDUSTRIA E COMERCIO LTDA, SP,2002-01-01,252978,254240.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,MICRO,PRIVADA,"BANCO FIBRA S,A,"
81,SANTRON INDUSTRIAS ELETROELETRONICAS S/A, AM,2002-01-01,6279250,6293983.0,INDUSTRIA DE TRANSFORMAÇÃO,"Equip info, eletronico, ótico",GRANDE,PRIVADA,CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/A
82,AMSTED-MAXION FUNDICAO E EQUIPAMENTOS FERROVIARIOS S/A, SP,2002-01-01,2511700,2517365.0,INDUSTRIA DE TRANSFORMAÇÃO,Outros equip transporte,GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,"
83,RAYTON INDUSTRIAL S/A, SP,2002-01-01,1024807,1024807.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,MÉDIA,PRIVADA,"ITAU UNIBANCO S,A,"
84,ALPINO INDUSTRIA METALURGICA LTDA, SP,2002-01-01,76161,76161.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,MÉDIA,PRIVADA,"ITAU UNIBANCO S,A,"
85,INDUSTRIAS GERAIS DE PARAFUSOS INGEPAL LTDA, SP,2002-01-01,964707,964707.0,INDUSTRIA DE TRANSFORMAÇÃO,Produto de metal,MÉDIA,PRIVADA,"ITAU UNIBANCO S,A,"
86,ETHOS METALURGICA LTDA, SP,2002-01-01,461163,461163.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,MÉDIA,PRIVADA,"ITAU UNIBANCO S,A,"
87,TBM - TEXTIL BEZERRA DE MENEZES S/A, CE,2002-01-01,1707186,1709646.0,INDUSTRIA DE TRANSFORMAÇÃO,Têxtil,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,"
88,TBM - TEXTIL BEZERRA DE MENEZES S/A, CE,2002-01-01,3414374,3421152.0,INDUSTRIA DE TRANSFORMAÇÃO,Têxtil,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,"
89,MURI ENGENHARIA INDUSTRIAL LTDA, RS,2002-01-01,9005760,9730800.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,MÉDIA,PRIVADA,"BANCO VOTORANTIM S,A,"
90,"LUPO S,A,", SP,2002-01-01,631000,632369.0,INDUSTRIA DE TRANSFORMAÇÃO,"Confec, vestuário e acessórios",GRANDE,PRIVADA,"ITAU UNIBANCO S,A,"
91,CHAPECO COMPANHIA INDUSTRIAL DE ALIMENTOS, SC,2002-01-01,45976000,46275681.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,SEM NOME
92,CERAMICA SANTA TEREZINHA SOCIEDADE ANONIMA, SP,2002-01-01,257170,257752.0,INDUSTRIA DE TRANSFORMAÇÃO,Mineral não metálico,MÉDIA,PRIVADA,"ITAU UNIBANCO S,A,"
93,MONSANTO NORDESTE IND COM DE PRODUTOS QUIMICOS LTDA, BA,2002-01-01,50496000,50619308.0,INDUSTRIA DE TRANSFORMAÇÃO,Química,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,"
94,CHAPECO COMPANHIA INDUSTRIAL DE ALIMENTOS, SC,2002-01-01,12600500,12639745.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,MASSA FALIDA DO BANCO SANTOS
95,FRIGORIFICO MATABOI S/A, MG,2002-01-01,3024120,3030685.0,COMERCIO E SERVICOS,Comércio,GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,"
96,"POLYSTAR - INDUSTRIA E COM, DE PROD, SINTETICOS LTDA", BA,2002-01-01,1038477,1040639.0,INDUSTRIA DE TRANSFORMAÇÃO,Têxtil,MÉDIA,PRIVADA,DESENBAHIA-AGENCIA DE FOMENTO DO ESTADO DA BAHIA S/A
97,SUD-CHEMIE DO BRASIL LTDA, SP,2002-01-01,508260,509042.0,INDUSTRIA EXTRATIVA,Indústria Extrativa,GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,"
98,DAISA INDUSTRIA METALURGICA LTDA, SP,2002-01-01,257561,258403.0,INDUSTRIA DE TRANSFORMAÇÃO,Metalurgia,MÉDIA,PRIVADA,BANCO CITIBANK S A
99,MOBILIA BONITA INDUSTRIA E COMERCIO DE MOVEIS LTDA, RS,2002-01-01,584739,586243.0,INDUSTRIA DE TRANSFORMAÇÃO,Móveis,MÉDIA,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,"
100,LUPATECH S/A - EM RECUPERACAO JUDICIAL, RS,2002-01-01,1565160,1568702.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,"
101,UNIVEL AUTOMOTIVE LTDA, SP,2002-01-01,797371,799175.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",MÉDIA,PRIVADA,"ITAU UNIBANCO S,A,"
102,CALCADOS CHICARONI LTDA, SP,2002-01-01,543695,544840.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",MÉDIA,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO"
103,PBG S/A, SC,2002-01-01,5273400,5284575.0,INDUSTRIA DE TRANSFORMAÇÃO,Mineral não metálico,GRANDE,PRIVADA,"AGENCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S,A, - B"
104,"CERAMICA PORTO FERREIRA S,A,", SP,2002-01-01,840165,843957.0,INDUSTRIA DE TRANSFORMAÇÃO,Mineral não metálico,MÉDIA,PRIVADA,BANCO LUSO BRASILEIRO S/A
105,NETUNO ALIMENTOS S/A EM RECUPERACAO JUDICIAL, PE,2002-01-01,8245800,8259229.0,AGROPECUÁRIA E PESCA,Agropecuária,GRANDE,PRIVADA,"MASSA FALIDA DO BANCO BVA S,A,"
106,AGRICOLA JANDELLE S/A, PR,2002-01-01,1884540,1888021.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,"
107,HAPPY DAY INDUSTRIA E COMERCIO LTDA, SP,2002-01-01,815430,816167.0,INDUSTRIA DE TRANSFORMAÇÃO,Borracha e plástico,MICRO,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,"
108,DAL PONTE E CIA LTDA, RS,2002-01-01,1088185,1092504.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",MÉDIA,PRIVADA,"MASSA FALIDA DO BANCO BVA S,A,"
109,TOIGO MOVEIS LTDA, RS,2002-01-01,3923478,4304628.0,INDUSTRIA DE TRANSFORMAÇÃO,Móveis,MÉDIA,PRIVADA,"MASSA FALIDA DO BANCO BVA S,A,"
110,SANRISIL S/A INDUSTRIA E COMERCIO, SP,2002-01-01,5824848,6149469.0,INDUSTRIA DE TRANSFORMAÇÃO,Química,MÉDIA,PRIVADA,"BCV - BANCO DE CREDITO E VAREJO S/A,"
111,ROHDEN PORTAS E PAINEIS LTDA, SC,2002-01-01,862920,915495.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MÉDIA,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,"
112,SUD-CHEMIE DO BRASIL LTDA, SP,2002-01-01,857850,860233.0,INDUSTRIA EXTRATIVA,Indústria Extrativa,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,"
113,A FERREIRA INDUSTRIA COMERCIO E EXPORTACAO LTDA, RN,2002-01-01,886819,889191.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,MÉDIA,PRIVADA,"ITAU UNIBANCO S,A,"
114,TECUMSEH DO BRASIL LTDA, SP,2002-01-01,116564000,117092849.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"BANCO ITAUBANK S,A"
115,TECNOVIN DO BRASIL LTDA, RS,2002-01-01,7154250,7172647.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
116,INCASA INDUSTRIA E COMERCIO CATARINENSE S A, SC,2002-01-01,2861700,1711329.0,INDUSTRIA DE TRANSFORMAÇÃO,Química,GRANDE,PRIVADA,CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/A
117,LASSANE TECNOLOGIA EM ENCADERNACOES LTDA, MG,2002-01-01,439307,439307.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,MÉDIA,PRIVADA,"BANCO BRADESCO S,A,"
118,CALIMAN AGRICOLA S/A-EM RECUPERACAO JUDICIAL, ES,2002-01-01,1468346,1630065.0,AGROPECUÁRIA E PESCA,Agropecuária,MÉDIA,PRIVADA,"ITAU UNIBANCO S,A,"
119,BRASFIBRA FIBRA DE SISAL DO BRASIL LTDA, BA,2002-01-01,1464896,1537820.0,INDUSTRIA DE TRANSFORMAÇÃO,Têxtil,PEQUENA,PRIVADA,"ITAU UNIBANCO S,A,"
120,EMPRESA BRASILEIRA DE BEBIDAS E ALIMENTOS S/A, PE,2002-01-01,881007,882910.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,MÉDIA,PRIVADA,"ITAU UNIBANCO S,A,"
121,ELLEN METALURGICA E CROMEACAO LIMITADA, SP,2002-01-01,255390,306840.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",MÉDIA,PRIVADA,"BANCO FIBRA S,A,"
122,PBG S/A, RJ,2002-01-01,2871100,2882347.0,INDUSTRIA DE TRANSFORMAÇÃO,Mineral não metálico,GRANDE,PRIVADA,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
123,POMI FRUTAS S/A, SC,2002-01-01,2706045,2716786.0,AGROPECUÁRIA E PESCA,Agropecuária,MÉDIA,PRIVADA,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL
124,TECNICAS ELETRO MECANICAS TELEM S/A, SP,2002-01-01,428855,430269.0,INDUSTRIA DE TRANSFORMAÇÃO,"Equip info, eletronico, ótico",MICRO,PRIVADA,"BANCO FIBRA S,A,"
125,MONTREAL COMERCIO DE GENEROS ALIMENTICIOS LTDA, PR,2002-01-01,853650,854790.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,"
126,NOVO PISO S/A ENGENHARIA DE REVESTIMENTOS, SP,2002-01-01,579856,650303.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MÉDIA,PRIVADA,BANCO LUSO BRASILEIRO S/A
