variable,coef,std err,t,P>|t|,conf_int_low,conf_int_high,percent_change
const,27.292189217170517,12.592187318194195,2.1673906627593276,0.03023844037010713,2.6077182978948876,51.97666013644614,71260222834000.28
UF_Alagoas,-0.27244039747598325,0.6258695127342871,-0.4352990390692633,0.6633587058831376,-1.499332707442529,0.9544519124905624,-23.848118373386505
UF_Amazonas,0.33917678846535715,0.5434344384396745,0.6241356168725924,0.5325587170092091,-0.7261180053005238,1.4044715822312381,40.37914974213663
UF_Bahia,-0.06172735375281668,0.5336397185002246,-0.11567233774558462,0.9079155242963637,-1.1078215532614584,0.984366845755825,-5.986082273030469
UF_Ceará,-0.3227726720761481,0.5319574564176308,-0.6067640714161637,0.5440270307168747,-1.3655691324067532,0.7200237882544569,-27.58615474506756
UF_Espírito Santo,-0.1834793626335971,0.534198579015036,-0.34346658684847,0.7312577139168888,-1.2306690966810128,0.8637103714138186,-16.763094653421863
UF_Goiás,-0.5410410589774823,0.5633334832780165,-0.9604276597037773,0.3368729554552754,-1.6453439600102948,0.5632618420553301,-41.78581072429305
UF_Mato Grosso,-0.6039992942673407,0.5526075312038878,-1.0929986657103512,0.27443172634662427,-1.6872761062367527,0.4792775177020714,-45.33788400371337
UF_Mato Grosso do Sul,-0.7851800749373294,0.6828589153222889,-1.1498423134253846,0.2502478217755985,-2.123788738492249,0.5534285886175903,-54.396242654622554
UF_Minas Gerais,0.08538887257892203,0.5302025423265995,0.16104953439910769,0.8720590009076981,-0.9539674288061994,1.1247451739640435,8.914052124143602
UF_Paraná,-0.338862107500419,0.5298699777399962,-0.6395193570802693,0.5225059015052063,-1.3775664823648057,0.6998422673639677,-28.74192981509921
UF_Paraíba,0.05279665064112038,0.5999914456494814,0.08799567231157576,0.9298826147103942,-1.123366871843128,1.2289601731253688,5.421524932639943
UF_Pará,-0.8164055627411742,0.56319530200364,-1.4495958326298284,0.14721573348351824,-1.9204375869546746,0.2876264614723263,-55.79823929491583
UF_Pernambuco,-0.5591045169983118,0.5345143937897694,-1.046004604355358,0.29559476272036833,-1.6069133429021136,0.4887043089054901,-42.8279199052358
UF_Piauí,-0.2732650159161083,0.5918662576309366,-0.4617006163012339,0.644310272426069,-1.4335007283790095,0.886970696546793,-23.910888734870284
UF_Rio Grande do Norte,-0.4383994427700535,0.5442284152046335,-0.8055430964684422,0.4205335113570994,-1.5052506695741321,0.6284517840340251,-35.49319363855261
UF_Rio Grande do Sul,-0.3123071849334442,0.5293531208933119,-0.5899789244775001,0.5552236845869232,-1.349998365070099,0.7253839952032106,-26.824329093642064
UF_Rio de Janeiro,-0.006710357457051508,0.532495638579824,-0.012601713461819443,0.9899459100243796,-1.0505618165417439,1.0371411016276408,-0.6687893284080038
UF_Rondônia,-0.5502927220411609,0.5794909448852305,-0.949614013641141,0.3423409616169455,-1.6862691029146293,0.5856836588323076,-42.32190508297504
UF_Santa Catarina,-0.31302515320666124,0.5295706358577368,-0.5910923529580895,0.5544774904333295,-1.3511427280337838,0.7250924216204613,-26.87684804799668
UF_Sergipe,-0.4260275080351885,0.6478168478911388,-0.6576357336522676,0.5107936947371489,-1.695943189775447,0.8438881737050699,-34.6901623579544
UF_São Paulo,-0.07261160168080627,0.529130842838979,-0.1372280649739083,0.8908544462321306,-1.109867050039532,0.9646438466779195,-7.003804444857032
UF_Tocantins,-0.9691565714895414,0.6829072326324029,-1.419162845521101,0.15589574851650587,-2.3078599514909586,0.3695468085118756,-62.059709758205415
Setor CNAE_COMERCIO E SERVICOS,-0.15634806854214772,0.07272136251029387,-2.1499606600469883,0.03159223492047277,-0.29890379081144425,-0.01379234627285117,-14.47385510488781
Setor CNAE_INDUSTRIA DE TRANSFORMAÇÃO,0.1664612154845515,0.05767109714492923,2.886388914471826,0.003908737315639674,0.05340853572494987,0.27951389524415315,18.11177259033341
Setor CNAE_INDUSTRIA EXTRATIVA,-0.15793991311672056,0.2254822936912007,-0.7004537275686054,0.48366710452951356,-0.5999529630171091,0.28407313678366797,-14.609891131791608
Porte do cliente_MICRO,-1.4722971371358624,0.10925475425098406,-13.475817571779503,6.939842384016295e-41,-1.6864692849885496,-1.2581249892831752,-77.06020790081386
Porte do cliente_MÉDIA,-1.0009726095461227,0.024370295826953978,-41.07346979510316,0.0,-1.048745712298922,-0.9531995067933232,-63.24781879399273
Porte do cliente_PEQUENA,-1.3877479208999401,0.07911906867975134,-17.53999312753667,1.8902249995003864e-67,-1.5428450696823146,-1.2326507721175657,-75.03631259684256
