Cliente,UF,Ano,Valor da Operação em R$,Valor Desembolsado em Reais,Setor CNAE,Subsetor CNAE Agrupado,Porte do cliente,Natureza,Instituição Financeira Credenciada,Contribuição do UF ao PIB Nacional (%),Proporção do Valor Setorial ao PIB do UF
DAMBROZ EMPREENDIMENTOS E ADMINISTRACAO LTDA,Rio Grande do Sul,2002,555255,555255.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,MÉDIA,PRIVADA,CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/A,0.0663944490885076,0.1359316368294903
COROL COOP AGROINDUSTRIAL,Paraná,2002,783125,783125.0,AGROPECUÁRIA E PESCA,Agropecuária,GRANDE,PRIVADA,CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/A,0.0592668384680633,0.0539185859130851
C S PESQUISAS E PARTICIPACOES INDUSTRIAIS LTDA,Paraná,2002,643001,644789.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"BANCO BRADESCO S,A,",0.0592668384680633,0.1522791897505448
"RENUKA VALE DO IVAI S,A, - EM RECUPERACAO JUDICIAL",Paraná,2002,1549400,1713850.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/A,0.0592668384680633,0.1522791897505448
FRIMESA COOPERATIVA CENTRAL,Paraná,2002,2721825,3290906.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,MÉDIA,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
"C,VALE - COOPERATIVA AGROINDUSTRIAL",Paraná,2002,3098800,3123900.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO SAFRA S,A,",0.0592668384680633,0.1522791897505448
AFFONSO DITZEL & CIA LTDA,Paraná,2002,417947,467033.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MÉDIA,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
"ATLAS INDUSTRIA DE ELETRODOMESTICOS LTDA,",Paraná,2002,1211440,1353720.0,INDUSTRIA DE TRANSFORMAÇÃO,"Máq, aparelho eletrico",GRANDE,PRIVADA,"BANCO UNICO S,A,",0.0592668384680633,0.1522791897505448
"TOTVS LARGE ENTERPRISE TECNOLOGIA S,A,",Paraná,2002,604460,778980.0,INDUSTRIA DE TRANSFORMAÇÃO,"Equip info, eletronico, ótico",GRANDE,PRIVADA,"BOSTON NEGOCIOS E PARTICIPACOES LTDA,",0.0592668384680633,0.1522791897505448
CASAGRANDE REVESTIMENTOS CERAMICOS S/A,Paraná,2002,453345,468585.0,INDUSTRIA DE TRANSFORMAÇÃO,Mineral não metálico,MÉDIA,PRIVADA,BANCO DO BRASIL SA,0.0592668384680633,0.1522791897505448
BOTICA COMERCIAL FARMACEUTICA LTDA,Paraná,2002,986120,988047.0,INDUSTRIA DE TRANSFORMAÇÃO,Química,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.0592668384680633,0.1522791897505448
"RENAULT DO BRASIL S,A",Paraná,2002,24975200,24991200.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
SEARA IND E COM DE PRODUTOS AGRO-PECUARIOS LTDA,Paraná,2002,923640,939360.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
COMPANHIA CACIQUE DE CAFE SOLUVEL,Paraná,2002,3113600,3123900.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
WYNY DO BRASIL IND E COM DE COUROS LTDA,Paraná,2002,622720,605720.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
"VANCOUROS INDUSTRIA E COMERCIO DE COUROS LTDA,",Paraná,2002,311360,302860.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",MÉDIA,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
COROL COOP AGROINDUSTRIAL,Paraná,2002,2349375,2538225.0,AGROPECUÁRIA E PESCA,Agropecuária,GRANDE,PRIVADA,CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/A,0.0592668384680633,0.0539185859130851
LAR COOPERATIVA AGROINDUSTRIAL,Paraná,2002,3132500,3137330.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
"C,VALE - COOPERATIVA AGROINDUSTRIAL",Paraná,2002,1096375,1184505.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.0592668384680633,0.1522791897505448
IBEMA COMPANHIA BRASILEIRA DE PAPEL,Paraná,2002,1260480,1353720.0,INDUSTRIA DE TRANSFORMAÇÃO,Celulose e papel,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
COMPENSADOS FAUNA BRAZIL LTDA,Paraná,2002,518782,518782.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MÉDIA,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,",0.0592668384680633,0.1522791897505448
ALLTIMBER INDUSTRIA DE MADEIRAS LTDA,Paraná,2002,411324,470736.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MÉDIA,PRIVADA,BANCO DO BRASIL SA,0.0592668384680633,0.1522791897505448
PINEPLY COMPENSADOS LTDA,Paraná,2002,518782,518782.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MÉDIA,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,",0.0592668384680633,0.1522791897505448
WAP DO BRASIL LTDA,Paraná,2002,198732,198732.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"BANCO BRADESCO S,A,",0.0592668384680633,0.1522791897505448
CASAGRANDE REVESTIMENTOS CERAMICOS S/A,Paraná,2002,498600,548895.0,INDUSTRIA DE TRANSFORMAÇÃO,Mineral não metálico,MÉDIA,PRIVADA,BANCO DO BRASIL SA,0.0592668384680633,0.1522791897505448
EVERTIS BRASIL PLASTICOS S/A,Paraná,2002,1354758,1674807.0,INDUSTRIA DE TRANSFORMAÇÃO,Borracha e plástico,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.0592668384680633,0.1522791897505448
SEARA IND E COM DE PRODUTOS AGRO-PECUARIOS LTDA,Paraná,2002,780975,780975.0,AGROPECUÁRIA E PESCA,Agropecuária,GRANDE,PRIVADA,CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/A,0.0592668384680633,0.0539185859130851
APUCACOUROS INDUSTRIA E EXPORTACAO DE COUROS S/A,Paraná,2002,942510,908580.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
SEARA IND E COM DE PRODUTOS AGRO-PECUARIOS LTDA,Paraná,2002,780975,950375.0,AGROPECUÁRIA E PESCA,Agropecuária,GRANDE,PRIVADA,CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/A,0.0592668384680633,0.0539185859130851
"TOTVS LARGE ENTERPRISE TECNOLOGIA S,A,",Paraná,2002,312390,351067.0,INDUSTRIA DE TRANSFORMAÇÃO,"Equip info, eletronico, ótico",GRANDE,PRIVADA,"BOSTON NEGOCIOS E PARTICIPACOES LTDA,",0.0592668384680633,0.1522791897505448
HUBNER INDUSTRIA MECANICA LTDA,Paraná,2002,624780,731860.0,INDUSTRIA DE TRANSFORMAÇÃO,Produto de metal,MÉDIA,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
C S PESQUISAS E PARTICIPACOES INDUSTRIAIS LTDA,Paraná,2002,624780,624780.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,",0.0592668384680633,0.1522791897505448
APUCACOUROS INDUSTRIA E EXPORTACAO DE COUROS S/A,Paraná,2002,939180,1086480.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,BANCO DO BRASIL SA,0.0592668384680633,0.1522791897505448
FAMOSSUL MADEIRAS S/A,Paraná,2002,1585327,1585327.0,INDUSTRIA DE TRANSFORMAÇÃO,Móveis,MÉDIA,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
"C,VALE - COOPERATIVA AGROINDUSTRIAL",Paraná,2002,3178300,3725700.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.0592668384680633,0.1522791897505448
WYNY DO BRASIL IND E COM DE COUROS LTDA,Paraná,2002,2930616,3488988.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,BANCO DO BRASIL SA,0.0592668384680633,0.1522791897505448
"TOTVS LARGE ENTERPRISE TECNOLOGIA S,A,",Paraná,2002,1249560,1249560.0,INDUSTRIA DE TRANSFORMAÇÃO,"Equip info, eletronico, ótico",GRANDE,PRIVADA,"BOSTON NEGOCIOS E PARTICIPACOES LTDA,",0.0592668384680633,0.1522791897505448
COOPAVEL COOPERATIVA AGROINDUSTRIAL,Paraná,2002,3141700,3098800.0,AGROPECUÁRIA E PESCA,Agropecuária,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.0539185859130851
SOYCOMEX COMERCIAL E EXPORTADORA LTDA,Paraná,2002,24635200,31159200.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
"MOINHO IGUACU AGROINDUSTRIAL S,A,",Paraná,2002,1539700,1594200.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
GUARANY INDUSTRIA E COMERCIO LTDA,São Paulo,2002,311360,338430.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,MÉDIA,PRIVADA,BANCO DO BRASIL SA,0.3485244825534094,0.0258951855401149
CIA IMPORTADORA E EXPORTADORA COIMEX,São Paulo,2002,12454400,13537200.0,COMERCIO E SERVICOS,Comércio,GRANDE,PRIVADA,MASSA FALIDA DO BANCO SANTOS,0.3485244825534094,0.0490621427420967
TINTO HOLDING LTDA,São Paulo,2002,6283400,6308652.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO SAFRA S,A,",0.3485244825534094,0.0258951855401149
MWM INTERNATIONAL INDUSTRIA DE MOTORES DA AMERICA DO SU,São Paulo,2002,3151581,3160014.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,"BANCO SAFRA S,A,",0.3485244825534094,0.0258951855401149
AJINOMOTO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS L,São Paulo,2002,6283400,6296981.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,BANCO DO BRASIL SA,0.3485244825534094,0.0258951855401149
"ACOS VILLARES S/A,",São Paulo,2002,4712550,4767450.0,INDUSTRIA DE TRANSFORMAÇÃO,Metalurgia,GRANDE,PRIVADA,"BANCO SAFRA S,A,",0.3485244825534094,0.0258951855401149
LOUIS DREYFUS COMPANY BRASIL S/A,São Paulo,2002,25133600,25060000.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO SAFRA S,A,",0.3485244825534094,0.0258951855401149
BRACELL SP CELULOSE LTDA,São Paulo,2002,7784000,7809750.0,INDUSTRIA DE TRANSFORMAÇÃO,Celulose e papel,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.3485244825534094,0.0258951855401149
"USINAS SIDERURGICAS DE MINAS GERAIS S/A, USIMINAS",São Paulo,2002,1570850,1575300.0,INDUSTRIA DE TRANSFORMAÇÃO,Metalurgia,GRANDE,PRIVADA,BANCO PINE S/A,0.3485244825534094,0.0258951855401149
"USINAS SIDERURGICAS DE MINAS GERAIS S/A, USIMINAS",São Paulo,2002,3141700,3150600.0,INDUSTRIA DE TRANSFORMAÇÃO,Metalurgia,GRANDE,PRIVADA,BANCO PINE S/A,0.3485244825534094,0.0258951855401149
LUK DO BRASIL EMBREAGENS LTDA,São Paulo,2002,3141700,3145904.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,BANCO DO BRASIL SA,0.3485244825534094,0.0258951855401149
"SCHAEFFLER BRASIL LTDA,",São Paulo,2002,9425100,9443532.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,BANCO DO BRASIL SA,0.3485244825534094,0.0258951855401149
BRASKEM PETROQUIMICA LTDA,São Paulo,2002,6283400,6291807.0,INDUSTRIA DE TRANSFORMAÇÃO,Química,GRANDE,PRIVADA,"BANCO SAFRA S,A,",0.3485244825534094,0.0258951855401149
"ADIBOARD S,A, - GRUPO ITAUTEC PHILCO",São Paulo,2002,9425100,9435771.0,INDUSTRIA DE TRANSFORMAÇÃO,"Equip info, eletronico, ótico",GRANDE,PRIVADA,"BANCO SAFRA S,A,",0.3485244825534094,0.0258951855401149
CONFAB INDUSTRIAL SOCIEDADE ANONIMA,São Paulo,2002,15708500,15727902.0,INDUSTRIA DE TRANSFORMAÇÃO,Metalurgia,GRANDE,PRIVADA,"BANCO SAFRA S,A,",0.3485244825534094,0.0258951855401149
"MONTECITRUS TRADING S/A,",São Paulo,2002,3141700,3188400.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BOSTON NEGOCIOS E PARTICIPACOES LTDA,",0.3485244825534094,0.0258951855401149
"USINAS SIDERURGICAS DE MINAS GERAIS S/A, USIMINAS",São Paulo,2002,3141700,3150600.0,INDUSTRIA DE TRANSFORMAÇÃO,Metalurgia,GRANDE,PRIVADA,BANCO PINE S/A,0.3485244825534094,0.0258951855401149
PALMALI - INDUSTRIAL DE ALIMENTOS LTDA,Paraná,2002,289728,289728.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
USINA MOEMA ACUCAR E ALCOOL LTDA,São Paulo,2002,9340800,9371700.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,",0.3485244825534094,0.0258951855401149
"SCHAEFFLER BRASIL LTDA,",São Paulo,2002,3113600,3117124.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.3485244825534094,0.0258951855401149
LINEA PARANA MADEIRAS LTDA,Paraná,2002,642656,643517.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MÉDIA,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,",0.0592668384680633,0.1522791897505448
FAMOSSUL MADEIRAS S/A,Paraná,2002,968300,969596.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos diversos,MÉDIA,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,",0.0592668384680633,0.1522791897505448
ANGELO CAMILOTTI CIA LTDA,Paraná,2002,810770,812023.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MÉDIA,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,",0.0592668384680633,0.1522791897505448
"TRIANGULO PISOS E PAINEIS LTDA,",Paraná,2002,3073200,3082706.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MÉDIA,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
MONTREAL COMERCIO DE GENEROS ALIMENTICIOS LTDA,Paraná,2002,853650,854790.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,",0.0592668384680633,0.1522791897505448
AGRICOLA JANDELLE S/A,Paraná,2002,1884540,1888021.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.0592668384680633,0.1522791897505448
ELDORADO EXPORT MADEIRAS LTDA,Paraná,2002,608002,609510.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MICRO,PRIVADA,"ITAU UNIBANCO S,A,",0.0592668384680633,0.1522791897505448
"SCHAEFFLER BRASIL LTDA,",São Paulo,2002,12454400,12477467.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"BANCO ITAUBANK S,A",0.3485244825534094,0.0258951855401149
SERRARIAS CAMPOS DE PALMAS SA,Paraná,2002,4764376,4781856.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MÉDIA,PRIVADA,MASSA FALIDA DO BANCO SANTOS,0.0592668384680633,0.1522791897505448
LAR COOPERATIVA AGROINDUSTRIAL,Paraná,2002,4696400,4712245.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
LAR COOPERATIVA AGROINDUSTRIAL,Paraná,2002,4765400,4791053.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,BANCO CITIBANK S A,0.0592668384680633,0.1522791897505448
RHODIA POLIAMIDA E ESPECIALIDADES SA,São Paulo,2002,10586240,13128420.0,INDUSTRIA DE TRANSFORMAÇÃO,Química,GRANDE,PRIVADA,"BANCO MODAL S,A,",0.3485244825534094,0.0258951855401149
"MONTECITRUS TRADING S/A,",São Paulo,2002,7784000,7971000.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.3485244825534094,0.0258951855401149
"ASGA S,A",São Paulo,2002,498176,498176.0,INDUSTRIA DE TRANSFORMAÇÃO,"Equip info, eletronico, ótico",GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,",0.3485244825534094,0.0258951855401149
"ASGA S,A",São Paulo,2002,124544,149402.0,INDUSTRIA DE TRANSFORMAÇÃO,"Equip info, eletronico, ótico",GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,",0.3485244825534094,0.0258951855401149
FORD MOTOR COMPANY BRASIL LTDA,São Paulo,2002,24908800,24228800.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,"BANCO ITAUBANK S,A",0.3485244825534094,0.0258951855401149
LAR COOPERATIVA AGROINDUSTRIAL,Paraná,2002,5858000,5868239.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.0592668384680633,0.1522791897505448
"CAMIFRA SA - MADEIRAS, AGRICULTURA E PECUARIA",Paraná,2002,181080,193065.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MICRO,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
TERMOPAR IMPORT LTDA,Paraná,2002,3690048,3690048.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,MICRO,PRIVADA,"BANCO BRADESCO S,A,",0.0592668384680633,0.1522791897505448
ANGELO CAMILOTTI CIA LTDA,Paraná,2002,186285,186285.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MÉDIA,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.0592668384680633,0.1522791897505448
INDEPENDENCIA S/A,São Paulo,2002,9371700,9397742.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,MASSA FALIDA DO BANCO SANTOS,0.3485244825534094,0.0258951855401149
SABO INDUSTRIA E COMERCIO DE AUTOPECAS LTDA,São Paulo,2002,2185330,2205420.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.3485244825534094,0.0258951855401149
SABO INDUSTRIA E COMERCIO DE AUTOPECAS LTDA,São Paulo,2002,2185330,2189826.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.3485244825534094,0.0258951855401149
"USINAS SIDERURGICAS DE MINAS GERAIS S/A, USIMINAS",São Paulo,2002,3141700,3098800.0,INDUSTRIA DE TRANSFORMAÇÃO,Metalurgia,GRANDE,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,",0.3485244825534094,0.0258951855401149
"USINAS SIDERURGICAS DE MINAS GERAIS S/A, USIMINAS",São Paulo,2002,3141700,3098800.0,INDUSTRIA DE TRANSFORMAÇÃO,Metalurgia,GRANDE,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,",0.3485244825534094,0.0258951855401149
PERDIGAO AGROINDUSTRIAL S/A,São Paulo,2002,24635200,25060000.0,AGROPECUÁRIA E PESCA,Agropecuária,GRANDE,PRIVADA,"BANCO ITAUBANK S,A",0.3485244825534094,0.0091688942433118
RIPASA S/A CELULOSE E PAPEL,São Paulo,2002,24908800,25060000.0,INDUSTRIA DE TRANSFORMAÇÃO,Celulose e papel,GRANDE,PRIVADA,"BANCO ITAUBANK S,A",0.3485244825534094,0.0258951855401149
LABORATORIOS PFIZER LTDA,São Paulo,2002,24991200,25045178.0,INDUSTRIA DE TRANSFORMAÇÃO,"Farmoquímico, farmacêutico",GRANDE,PRIVADA,"BOSTON NEGOCIOS E PARTICIPACOES LTDA,",0.3485244825534094,0.0258951855401149
INDEPENDENCIA S/A,São Paulo,2002,3434090,3465660.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BOSTON NEGOCIOS E PARTICIPACOES LTDA,",0.3485244825534094,0.0258951855401149
INDUSTRIA GRAFICA FORONI LTDA,São Paulo,2002,312190,372972.0,INDUSTRIA DE TRANSFORMAÇÃO,Gráfica,GRANDE,PRIVADA,"BCV - BANCO DE CREDITO E VAREJO S/A,",0.3485244825534094,0.0258951855401149
ALSTOM HYDRO ENERGIA BRASIL LTDA,São Paulo,2002,7909944,8574785.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"BANCO MODAL S,A,",0.3485244825534094,0.0258951855401149
LORENZETTI SA INDUSTRIAS BRASILEIRAS ELETROMETALURGICAS,São Paulo,2002,631258,637061.0,INDUSTRIA DE TRANSFORMAÇÃO,"Máq, aparelho eletrico",GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.3485244825534094,0.0258951855401149
PMG TRADING S/A,São Paulo,2002,6243800,6261794.0,AGROPECUÁRIA E PESCA,Agropecuária,GRANDE,PRIVADA,MASSA FALIDA DO BANCO SANTOS,0.3485244825534094,0.0091688942433118
MAXION COMPONENTES ESTRUTURAIS LTDA,São Paulo,2002,1320470,1323458.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,BANCO DO BRASIL SA,0.3485244825534094,0.0258951855401149
JBS S/A,São Paulo,2002,3746280,4673880.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO SAFRA S,A,",0.3485244825534094,0.0258951855401149
INDUSTRIA GRAFICA FORONI LTDA,São Paulo,2002,1237960,1237960.0,INDUSTRIA DE TRANSFORMAÇÃO,Gráfica,GRANDE,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,",0.3485244825534094,0.0258951855401149
INDUSTRIA GRAFICA FORONI LTDA,São Paulo,2002,1248760,1248760.0,INDUSTRIA DE TRANSFORMAÇÃO,Gráfica,GRANDE,PRIVADA,"BCV - BANCO DE CREDITO E VAREJO S/A,",0.3485244825534094,0.0258951855401149
INDUSTRIA GRAFICA FORONI LTDA,São Paulo,2002,309490,362709.0,INDUSTRIA DE TRANSFORMAÇÃO,Gráfica,GRANDE,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,",0.3485244825534094,0.0258951855401149
INDEPENDENCIA S/A,São Paulo,2002,21867300,21867300.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO BRADESCO S,A,",0.3485244825534094,0.0258951855401149
PRODUTOS ROCHE QUIMICOS E FAMACEUTICOS S/A,São Paulo,2002,8746920,8746920.0,INDUSTRIA DE TRANSFORMAÇÃO,"Farmoquímico, farmacêutico",GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.3485244825534094,0.0258951855401149
"MINERVA S,A,",São Paulo,2002,3151200,3725700.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO UNICO S,A,",0.3485244825534094,0.0258951855401149
AJINOMOTO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS L,São Paulo,2002,3132500,3139267.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,BANCO DO BRASIL SA,0.3485244825534094,0.0258951855401149
DORI ALIMENTOS LTDA,São Paulo,2002,1566250,1692150.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,",0.3485244825534094,0.0258951855401149
FISCHER S/A - AGROINDUSTRIA,São Paulo,2002,6197600,7789800.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO BRADESCO S,A,",0.3485244825534094,0.0258951855401149
JBS S/A,São Paulo,2002,9296400,9296400.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/A,0.3485244825534094,0.0258951855401149
FABRICA DE ARTEFATOS DE LATEX SAO ROQUE LTDA,São Paulo,2002,1211440,1353720.0,INDUSTRIA DE TRANSFORMAÇÃO,Borracha e plástico,GRANDE,PRIVADA,"BOSTON NEGOCIOS E PARTICIPACOES LTDA,",0.3485244825534094,0.0258951855401149
"RHODIA BRASIL S,A,",São Paulo,2002,6057200,7722600.0,INDUSTRIA DE TRANSFORMAÇÃO,Química,GRANDE,PRIVADA,"BANCO SAFRA S,A,",0.3485244825534094,0.0258951855401149
