
Table 1: N
Dep. Variable:,Valor Desembolsado em Reais,  R-squared (uncentered):,   0.998
Model:,OLS,  Adj. R-squared (uncentered):,   0.997
Method:,Least Squares,  F-statistic:       ,   1912.
Date:,"Wed, 29 May 2024",  Prob (F-statistic):,  0.00
Time:,08:37:56,  Log-Likelihood:    , -7770.1
No. Observations:,  7079,  AIC:               ,1.829e+04
Df Residuals:,  5702,  BIC:               ,2.775e+04
Df Model:,  1377,                     , 
Covariance Type:,nonrobust,                     , 


Table 2: o
,coef,std err,t,P>|t|,[0.025,0.975]
Cliente_INDUSTRIA CAMPINEIRA DE SABAO E GLICERINA LIMITADA,    2.3439,    0.881,    2.661, 0.008,    0.617,    4.071
Cliente_INDUSTRIA CAXIENSE DE MOLDURAS LTDA,    2.2746,    0.893,    2.547, 0.011,    0.524,    4.026
Cliente_INDUSTRIA CERAMICA FRAGNANI LTDA,    2.4718,    0.739,    3.345, 0.001,    1.023,    3.920
"Cliente_INDUSTRIA CONSTRUCOES E MONTAGENS INGELEC S,A, - INCOMI",    4.2632,    1.050,    4.060, 0.000,    2.204,    6.322
Cliente_INDUSTRIA DE CALCADOS DEJUNEL LTDA - ME,    4.2615,    0.887,    4.803, 0.000,    2.522,    6.001
Cliente_INDUSTRIA DE CALCADOS WEST COAST LTDA,    3.5574,    0.694,    5.126, 0.000,    2.197,    4.918
"Cliente_INDUSTRIA DE CALCADOS WIRTH LTDA,",    5.2338,    0.749,    6.989, 0.000,    3.766,    6.702
Cliente_INDUSTRIA DE COMPENSADOS GUARARAPES LTDA,    4.5273,    0.921,    4.918, 0.000,    2.723,    6.332
Cliente_INDUSTRIA DE FRIOS E PESCA LTDA,    4.3098,    0.560,    7.702, 0.000,    3.213,    5.407
Cliente_INDUSTRIA DE IMPLEMENTOS AGRICOLAS VENCE TUDO IMPORTACA,    3.9515,    0.713,    5.541, 0.000,    2.553,    5.350
"Cliente_INDUSTRIA DE MADEIRAS FAQUEADAS IPUMIRIM S,A,",    2.7681,    0.833,    3.323, 0.001,    1.135,    4.401
Cliente_INDUSTRIA DE MATERIAL BELICO DO BRASIL IMBEL,    4.6185,    1.051,    4.396, 0.000,    2.559,    6.678
Cliente_INDUSTRIA DE MOVEIS BECHARA NASSAR LTDA,    3.2263,    0.817,    3.947, 0.000,    1.624,    4.829
Cliente_INDUSTRIA DE MOVEIS MOVELAR LTDA,    3.8121,    0.984,    3.876, 0.000,    1.884,    5.740
Cliente_INDUSTRIA DE MOVEIS THB LTDA,    3.3750,    1.057,    3.193, 0.001,    1.303,    5.447
Cliente_INDUSTRIA DE PELES MINUANO LTDA,    4.2422,    0.891,    4.760, 0.000,    2.495,    5.990
Cliente_INDUSTRIA DE PISOS AVARE LTDA,    2.4586,    0.881,    2.789, 0.005,    0.731,    4.187
Cliente_INDUSTRIA DE POLPAS E CONSERVAS VAL LTDA,    2.6797,    1.051,    2.551, 0.011,    0.620,    4.739
Cliente_INDUSTRIA DE PRODUTOS ALIMENTICIOS CORY LTDA,    3.3161,    1.051,    3.154, 0.002,    1.255,    5.377
