
Table 1: N
Dep. Variable:,Valor Desembolsado em Reais,  R-squared (uncentered):,   0.998
Model:,OLS,  Adj. R-squared (uncentered):,   0.997
Method:,Least Squares,  F-statistic:       ,   1912.
Date:,"Wed, 29 May 2024",  Prob (F-statistic):,  0.00
Time:,08:37:56,  Log-Likelihood:    , -7770.1
No. Observations:,  7079,  AIC:               ,1.829e+04
Df Residuals:,  5702,  BIC:               ,2.775e+04
Df Model:,  1377,                     , 
Covariance Type:,nonrobust,                     , 


Table 2: o
,coef,std err,t,P>|t|,[0.025,0.975]
Cliente_KNORR BREMSE SISTEMAS P VEICULOS COMERCIAIS BRASIL LTDA,    3.5144,    0.819,    4.290, 0.000,    1.908,    5.121
Cliente_KRONA TUBOS E CONEXOES LTDA,    3.1920,    1.062,    3.007, 0.003,    1.111,    5.273
"Cliente_KSB BRASIL LTDA,",    5.5786,    0.819,    6.815, 0.000,    3.974,    7.183
Cliente_KSPG AUTOMOTIVE BRAZIL LTDA,    5.8164,    1.051,    5.533, 0.000,    3.756,    7.877
"Cliente_KTK INDUSTRIA, IMPORTACAO, EXPORTACAO E COMERCIO DE EQU",    2.5229,    0.783,    3.221, 0.001,    0.988,    4.058
Cliente_KYLY INDUSTRIA TEXTIL LTDA,    4.3595,    1.060,    4.113, 0.000,    2.282,    6.438
Cliente_LABORATORIOS B BRAUN S/A,    4.7263,    1.096,    4.311, 0.000,    2.577,    6.875
Cliente_LABORATORIOS PFIZER LTDA,    5.9691,    0.882,    6.765, 0.000,    4.239,    7.699
Cliente_LABTEST DIAGNOSTICA S/A,    2.0236,    1.070,    1.890, 0.059,   -0.075,    4.122
Cliente_LAMINOR S/A,    1.5802,    1.029,    1.536, 0.125,   -0.437,    3.597
Cliente_LANDIS+GYR EQUIPAMENTOS DE MEDICAO LTDA,    3.9304,    0.923,    4.258, 0.000,    2.121,    5.740
Cliente_LANXESS ELASTOMEROS DO BRASIL S/A,    5.3698,    0.781,    6.873, 0.000,    3.838,    6.901
Cliente_LAR COOPERATIVA AGROINDUSTRIAL,    3.2392,    0.740,    4.379, 0.000,    1.789,    4.689
Cliente_LASSANE TECNOLOGIA EM ENCADERNACOES LTDA,    1.3141,    1.066,    1.232, 0.218,   -0.777,    3.405
Cliente_LATICINIOS TIROLEZ LTDA,    3.0294,    0.883,    3.430, 0.001,    1.298,    4.761
Cliente_LATINA ELETRODOMESTICOS S/A,    2.0598,    0.711,    2.898, 0.004,    0.666,    3.453
Cliente_LAURENTI EQUIPAMENTOS PARA PROCESSAMENTO DE DADOS EIREL,    2.1404,    1.051,    2.037, 0.042,    0.081,    4.200
Cliente_LAVRADORA RACIONAL DE MADEIRAS LAVRAMA S A,    2.3584,    0.921,    2.561, 0.010,    0.553,    4.164
Cliente_LAYFF KOSMETIC LTDA,    2.1562,    0.806,    2.675, 0.007,    0.576,    3.736
Cliente_LEARDINI PESCADOS LTDA,    3.4071,    0.892,    3.819, 0.000,    1.658,    5.156
Cliente_LEDERVINMATEC INDUSTRIA E COMERCIO DE PRODUTOS TEXTEIS,    4.3483,    0.883,    4.925, 0.000,    2.617,    6.079
"Cliente_LEF PISOS E REVESTIMENTOS S,A,",    3.0978,    0.764,    4.055, 0.000,    1.600,    4.595
Cliente_LEON HEIMER S/A,    2.6011,    1.181,    2.202, 0.028,    0.285,    4.917
Cliente_LG ELECTRONICS DA AMAZONIA LTDA,    4.5790,    1.044,    4.387, 0.000,    2.533,    6.625
Cliente_LG ELECTRONICS DO BRASIL LTDA,    5.4757,    0.681,    8.045, 0.000,    4.141,    6.810
"Cliente_LIBRELATO S,A, IMPLEMENTOS RODOVIARIOS",    5.1588,    0.828,    6.231, 0.000,    3.536,    6.782
"Cliente_LIEBHERR BRASIL LTDA,",    3.9749,    1.052,    3.778, 0.000,    1.912,    6.037
"Cliente_LIESS MAQUINAS E EQUIPAMENTOS LTDA,",    4.1180,    1.056,    3.901, 0.000,    2.048,    6.188
Cliente_LIGHTSWEET IND E COM ALIM LTDA,    0.8250,    1.084,    0.761, 0.447,   -1.300,    2.950
Cliente_LINEA PARANA MADEIRAS LTDA,    2.8336,    0.771,    3.675, 0.000,    1.322,    4.345
Cliente_LINHAS BONFIO S/A,    2.3242,    1.050,    2.213, 0.027,    0.265,    4.383
Cliente_LORENZETTI SA INDUSTRIAS BRASILEIRAS ELETROMETALURGICAS,    3.9199,    0.883,    4.441, 0.000,    2.190,    5.650
Cliente_LOUIS DREYFUS COMPANY BRASIL S/A,    5.1033,    0.690,    7.397, 0.000,    3.751,    6.456
"Cliente_LOUIS DREYFUS COMPANY SUCOS S,A",    3.7348,    0.883,    4.229, 0.000,    2.003,    5.466
"Cliente_LSM BRASIL S,A,",    2.4241,    1.068,    2.271, 0.023,    0.331,    4.517
Cliente_LUK DO BRASIL EMBREAGENS LTDA,    3.9647,    0.882,    4.493, 0.000,    2.235,    5.695
Cliente_LUME CERAMICA LTDA,    2.7410,    1.051,    2.609, 0.009,    0.681,    4.801
Cliente_LUPATECH S/A - EM RECUPERACAO JUDICIAL,    4.0903,    0.774,    5.283, 0.000,    2.573,    5.608
"Cliente_LUPO S,A,",    3.4025,    0.738,    4.610, 0.000,    1.956,    4.850
Cliente_M OLIMPIA F FERREIRA CALCADOS,    3.1301,    1.069,    2.928, 0.003,    1.035,    5.226
"Cliente_M&G FIBRAS E RESINAS LTDA,",    4.7278,    0.749,    6.312, 0.000,    3.259,    6.196
Cliente_MABE BRASIL ELETRODOMESTICOS S/A EM RECUPERACAO JUDICIA,    5.0503,    0.706,    7.149, 0.000,    3.665,    6.435
Cliente_MABE CAMPINAS ELETRODOMESTICOS S/A,    5.6171,    1.051,    5.343, 0.000,    3.556,    7.678
Cliente_MABE ITU ELETRODOMESTICOS S/A,    1.9701,    0.883,    2.231, 0.026,    0.239,    3.701
Cliente_MACCAFERRI DO BRASIL LTDA,    4.4242,    0.750,    5.900, 0.000,    2.954,    5.894
Cliente_MADAL PALFINGER S/A,    5.3477,    0.795,    6.731, 0.000,    3.790,    6.905
Cliente_MADARCO S A INDUSTRIA E COMERCIO,    3.2801,    0.792,    4.142, 0.000,    1.728,    4.832
Cliente_MADECAL AGRO INDUSTRIAL LTDA,    2.3967,    0.897,    2.672, 0.008,    0.639,    4.155
Cliente_MADEIRANIT MADEIRAS LTDA,    1.1781,    0.927,    1.271, 0.204,   -0.639,    2.995
"Cliente_MADEIRAS SCHLINDWEIN LTDA,",    3.2610,    1.077,    3.027, 0.002,    1.149,    5.373
Cliente_MADEIREIRA MIGUEL FORTE SA,    3.7710,    1.091,    3.457, 0.001,    1.633,    5.909
Cliente_MADEM MAQUINAS LTDA,    3.5814,    1.058,    3.384, 0.001,    1.507,    5.656
Cliente_MADEM SA INDUSTRIA E COMERCIO DE MADEIRAS E EMBALAGENS,    4.4464,    0.712,    6.243, 0.000,    3.050,    5.843
Cliente_MADESCAN EXPORT LTDA,    0.6330,    1.326,    0.477, 0.633,   -1.966,    3.232
"Cliente_MAGNESITA MINERACAO S,A,",    2.8536,    0.784,    3.638, 0.000,    1.316,    4.391
"Cliente_MAGNESITA REFRATARIOS S,A,",    6.3585,    0.905,    7.026, 0.000,    4.584,    8.133
Cliente_MAGNESITA S/A,    2.8977,    0.766,    3.781, 0.000,    1.395,    4.400
Cliente_MAGNETI MARELLI SISTEMAS AUTOMOTIVOS INDUSTRIA E COMERC,    4.3910,    1.067,    4.117, 0.000,    2.300,    6.482
Cliente_MAHLE BEHR GERENCIAMENTO TERMICO BRASIL LTDA,    4.1990,    0.689,    6.092, 0.000,    2.848,    5.550
"Cliente_MAHLE COMPONENTES DE MOTORES DO BRASIL LTDA,",    5.1499,    0.760,    6.776, 0.000,    3.660,    6.640
Cliente_MAHLE HIRSCHVOGEL FORJAS S/A,    4.5115,    1.095,    4.119, 0.000,    2.364,    6.659
"Cliente_MAHLE METAL LEVE S,A,",    6.0390,    0.682,    8.849, 0.000,    4.701,    7.377
"Cliente_MAKOUROS DO BRASIL LTDA,",    3.4804,    0.890,    3.911, 0.000,    1.736,    5.225
Cliente_MALHARIA CRISTINA LTDA,    2.5682,    0.896,    2.867, 0.004,    0.812,    4.324
Cliente_MALHAS MENEGOTTI INDUSTRIA TEXTIL LTDA,    3.6861,    0.887,    4.155, 0.000,    1.947,    5.425
Cliente_MALINSKI MADEIRAS LTDA,    2.8963,    0.894,    3.241, 0.001,    1.145,    4.648
Cliente_MAMERI ROCHAS LTDA,    3.5247,    1.034,    3.408, 0.001,    1.497,    5.552
Cliente_MAMORE MINERACAO E METALURGIA LTDA,    4.5079,    0.819,    5.506, 0.000,    2.903,    6.113
Cliente_MANGELS INDUSTRIA E COMERCIO LTDA,    3.7866,    0.699,    5.419, 0.000,    2.417,    5.156
"Cliente_MANN+HUMMEL BRASIL LTDA,",    3.8042,    1.051,    3.619, 0.000,    1.743,    5.865
Cliente_MANNES LTDA,    3.4927,    0.796,    4.385, 0.000,    1.931,    5.054
Cliente_MANOEL BERNARDES COMERCIO E INDUSTRIA LTDA,    2.7503,    1.068,    2.576, 0.010,    0.657,    4.843
"Cliente_MANTIQUEIRA ALIMENTOS LTDA,",    3.7905,    0.914,    4.149, 0.000,    2.000,    5.581
Cliente_MAQPLAS INDUSTRIA E COMERCIO DE MAQUINAS LTDA,    1.7409,    1.051,    1.657, 0.098,   -0.319,    3.801
Cliente_MAQUINAS AGRICOLAS JACTO S A,    5.1080,    0.693,    7.374, 0.000,    3.750,    6.466
Cliente_MAQUINAS FERDINAND VADERSS A,    4.1296,    1.050,    3.933, 0.000,    2.071,    6.188
Cliente_MAQUINAS FURLAN LTDA,    3.9274,    1.051,    3.738, 0.000,    1.868,    5.987
Cliente_MAQUINAS KEHL LTDA,    2.8465,    1.056,    2.696, 0.007,    0.776,    4.917
Cliente_MAQUINAS SANMARTIN LTDA,    4.2115,    0.705,    5.974, 0.000,    2.830,    5.593
Cliente_MAQUINAS SAZI LTDA,    3.8340,    0.764,    5.021, 0.000,    2.337,    5.331
Cliente_MARACAI FLORESTAL E INDUSTRIAL LTDA,    1.3684,    0.927,    1.476, 0.140,   -0.449,    3.186
Cliente_MARAFON INDUSTRIA DE MAQUINAS LTDA,    3.2611,    0.882,    3.698, 0.000,    1.532,    4.990
Cliente_MARCEGAGLIA DO BRASIL LTDA,    3.9438,    0.729,    5.412, 0.000,    2.515,    5.372
Cliente_MARCOPOLO SA,    6.2339,    0.688,    9.061, 0.000,    4.885,    7.583
"Cliente_MAREL INDUSTRIA DE MOVEIS S,A,",    2.5943,    0.926,    2.801, 0.005,    0.779,    4.410
"Cliente_MARELLI COFAP DO BRASIL LTDA,",    5.5324,    0.699,    7.911, 0.000,    4.162,    6.903
"Cliente_MARFRIG GLOBAL FOODS S,A,",    4.8669,    0.703,    6.928, 0.000,    3.490,    6.244
Cliente_MARICULTURA RIO GRANDENSE LTDA,    2.3498,    1.071,    2.193, 0.028,    0.250,    4.450
Cliente_MARICULTURA TROPICAL LTDA,    4.3188,    1.259,    3.430, 0.001,    1.851,    6.787
Cliente_MARILAN ALIMENTOS S/A,    2.6717,    0.883,    3.025, 0.002,    0.940,    4.403
Cliente_MARINE - MARICULTURA DO NORDESTE S A,    3.5884,    1.183,    3.033, 0.002,    1.269,    5.908
Cliente_MARINI MOVEIS LTDA,    3.5344,    1.079,    3.276, 0.001,    1.420,    5.649
"Cliente_MARISOL S,A",    2.9565,    0.897,    3.297, 0.001,    1.198,    4.715
Cliente_MARISOL VESTUARIO SA,    3.6669,    0.835,    4.390, 0.000,    2.029,    5.304
Cliente_MARMORARIA MILANEZI S/A,    2.7928,    1.231,    2.269, 0.023,    0.380,    5.205
Cliente_MARSUL PROTEINAS LTDA,    3.7685,    1.055,    3.573, 0.000,    1.701,    5.836
Cliente_MARTINAZZO INDUSTRIA E COMERCIO LTDA,    3.2146,    1.075,    2.992, 0.003,    1.108,    5.321
Cliente_MASCARELLO - CARROCERIAS E ONIBUS LTDA,    3.4335,    0.860,    3.994, 0.000,    1.748,    5.119
Cliente_MASIPACK INDUSTRIA E COMERCIO DE MAQUINAS AUTOMATICAS S,    4.7390,    0.749,    6.327, 0.000,    3.271,    6.207
"Cliente_MASSIMA REVESTIMENTOS CERAMICOS LTDA,",    1.5247,    0.894,    1.705, 0.088,   -0.228,    3.278
Cliente_MASTER SISTEMAS AUTOMOTIVOS LTDA,    5.8220,    0.730,    7.972, 0.000,    4.390,    7.254
"Cliente_MAT EQUIPAMENTOS PARA GASES LTDA,",    3.6280,    0.784,    4.628, 0.000,    2.091,    5.165
Cliente_MATEC INDUSTRIAL S/A,    3.9439,    1.052,    3.749, 0.000,    1.882,    6.006
Cliente_MAUSA SA EQUIPAMENTOS INDUSTRIAIS,    3.5574,    0.817,    4.352, 0.000,    1.955,    5.160
Cliente_MAX INDUSTRIA METALURGICA LTDA,    3.1550,    0.910,    3.467, 0.001,    1.371,    4.939
Cliente_MAXCAP INDUSTRIA E COMERCIO LTDA,    1.1026,    1.068,    1.032, 0.302,   -0.992,    3.197
Cliente_MAXIFORJA COMPONENTES AUTOMOTIVOS LTDA,    4.9257,    0.824,    5.977, 0.000,    3.310,    6.541
Cliente_MAXION COMPONENTES ESTRUTURAIS LTDA,    3.7171,    0.739,    5.033, 0.000,    2.269,    5.165
"Cliente_MAXION SISTEMAS AUTOMOTIVOS LTDA,",    4.5816,    0.697,    6.576, 0.000,    3.216,    5.947
"Cliente_MAXION WHEELS DO BRASIL LTDA,",    5.1516,    0.883,    5.837, 0.000,    3.421,    6.882
Cliente_MB EXPORTADORA LTDA,    3.1573,    0.796,    3.966, 0.000,    1.597,    4.718
Cliente_MB MOLDURAS DO BRASIL INDUSTRIA E COMERCIO LTDA,    3.6654,    0.889,    4.124, 0.000,    1.923,    5.408
Cliente_MEBRAFE INSTALACOES E EQUIPAMENTOS FRIGORIFICOS LTDA,    3.6473,    1.053,    3.462, 0.001,    1.582,    5.713
"Cliente_MEDABIL INDUSTRIA EM SISTEMAS CONSTRUTIVOS S,A",    6.1989,    0.887,    6.987, 0.000,    4.460,    7.938
Cliente_MEDABIL SOLUCOES CONSTRUTIVAS S/A,    5.9247,    0.723,    8.190, 0.000,    4.506,    7.343
Cliente_MEGA EMBALAGENS LTDA                         (72535115),    4.8701,    1.063,    4.582, 0.000,    2.786,    6.954
"Cliente_MENEGHETI INDTSTRIA E COMÉRCIO DE CALÇADOS LTDA,",    2.2985,    1.051,    2.188, 0.029,    0.239,    4.358
Cliente_MENEGOTTI INDUSTRIAS METALURGICAS LTDA EM RECUPERACAO J,    3.6508,    0.718,    5.087, 0.000,    2.244,    5.058
Cliente_MENEGOTTI MAQUINAS E EQUIPAMENTOS LTDA EM RECUPERACAO J,    1.8093,    1.066,    1.698, 0.090,   -0.280,    3.898
"Cliente_MENTA MAQUINAS AGRICOLAS LTDA,",    2.3563,    0.739,    3.187, 0.001,    0.907,    3.806
"Cliente_MERCEDES-BENZ DO BRASIL LTDA,",    6.5687,    0.680,    9.661, 0.000,    5.236,    7.902
Cliente_MERCO FITNESS BRASIL COMERCIO DE EQUIPAMENTOS PARA GINA,    1.6184,    1.058,    1.530, 0.126,   -0.455,    3.692
Cliente_MERCUR S/A,    3.6543,    1.060,    3.447, 0.001,    1.576,    5.733
"Cliente_MERITOR DO BRASIL SISTEMAS AUTOMOTIVOS LTDA,",    5.2163,    0.764,    6.828, 0.000,    3.719,    6.714
Cliente_MESAL MAQUINAS E TECNOLOGIA LTDA,    4.3091,    1.055,    4.086, 0.000,    2.242,    6.377
Cliente_METAGAL INDUSTRIA E COMERCIO LTDA,    3.9431,    1.067,    3.694, 0.000,    1.851,    6.035
Cliente_METAL 2 INDUSTRIA E COMERCIO LTDA,    2.5039,    0.881,    2.841, 0.005,    0.776,    4.232
Cliente_METALBO INDUSTRIA DE FIXADORES METALICOS LTDA,    4.5675,    1.055,    4.329, 0.000,    2.499,    6.636
"Cliente_METALFRIO SOLUTIONS S,A,",    4.3582,    0.764,    5.703, 0.000,    2.860,    5.856
Cliente_METALGRAFICA CEARENSE S/A MECESA,    3.6529,    0.951,    3.840, 0.000,    1.788,    5.518
Cliente_METALPO INDUSTRIA E COMERCIO LTDA,    4.1894,    1.052,    3.983, 0.000,    2.127,    6.252
Cliente_METALURGICA CONVENCAO DE ITU LTDA,    3.4574,    1.051,    3.290, 0.001,    1.398,    5.517
Cliente_METALURGICA DUQUE S/A,    1.3920,    1.058,    1.316, 0.188,   -0.681,    3.465
Cliente_METALURGICA MOR S/A,    4.6253,    0.737,    6.274, 0.000,    3.180,    6.070
Cliente_METALURGICA RIOSULENSE SA,    3.0229,    0.895,    3.377, 0.001,    1.268,    4.778
Cliente_METALURGICA SCHWARZ S/A,    2.5383,    1.091,    2.327, 0.020,    0.400,    4.677
Cliente_METALURGICA SIEMSEN LIMITADA,    3.3199,    0.708,    4.692, 0.000,    1.933,    4.707
Cliente_METALURGICA TRAPP LTDA                       (83238832),    3.2381,    0.711,    4.553, 0.000,    1.844,    4.632
Cliente_METALURGICA VENANCIO LTDA,    3.6308,    0.891,    4.075, 0.000,    1.884,    5.378
Cliente_METALURGICA VISA LTDA,    3.7417,    1.066,    3.511, 0.000,    1.653,    5.831
Cliente_METISA METALURGICA TIMBOENSE S/A,    4.8498,    0.720,    6.733, 0.000,    3.438,    6.262
"Cliente_METSO OUTOTEC BRASIL INDUSTRIA E COMERCIO LTDA,",    6.4108,    0.764,    8.391, 0.000,    4.913,    7.908
Cliente_MIBA SINTER BRASIL LTDA,    4.5841,    0.725,    6.324, 0.000,    3.163,    6.005
Cliente_MILANI METTALI INDUSTRIA E COMERCIO LTDA,    2.5715,    0.840,    3.061, 0.002,    0.924,    4.219
Cliente_MILENIA AGRO CIENCIAS S/A,    3.7480,    1.084,    3.457, 0.001,    1.622,    5.874
Cliente_MINERADORA BKS LIMITADA,    4.5533,    1.213,    3.753, 0.000,    2.175,    6.932
"Cliente_MINERVA S,A,",    4.6815,    0.702,    6.670, 0.000,    3.306,    6.057
"Cliente_MINUSA INDUSTRIAS MECANICAS S,A,",    2.8206,    0.765,    3.686, 0.000,    1.320,    4.321
Cliente_MIPAL INDUSTRIA DE EVAPORADORES LTDA EM RECUPERACAO JUD,    3.2259,    1.050,    3.072, 0.002,    1.167,    5.284
Cliente_MK QUIMICA DO BRASIL LTDA,    3.3637,    1.055,    3.189, 0.001,    1.296,    5.432
Cliente_MM MONTEIRO PESCA E EXPORTACAO LTDA,    4.0887,    0.933,    4.381, 0.000,    2.259,    5.918
Cliente_MOBILIA BONITA INDUSTRIA E COMERCIO DE MOVEIS LTDA,    2.7414,    0.826,    3.320, 0.001,    1.122,    4.360
Cliente_MOGIANA ALIMENTOS LTDA,    3.3501,    0.731,    4.580, 0.000,    1.916,    4.784
"Cliente_MOINHO IGUACU AGROINDUSTRIAL S,A,",    2.6895,    1.083,    2.483, 0.013,    0.566,    4.813
Cliente_MOINHOS CRUZEIRO DO SUL S A,    4.9397,    0.825,    5.984, 0.000,    3.321,    6.558
Cliente_MONIBEL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,    1.4349,    0.826,    1.736, 0.083,   -0.185,    3.055
Cliente_MONNA INDUSTRIA DO VESTUARIO LTDA,    2.6789,    1.222,    2.193, 0.028,    0.284,    5.074
Cliente_MONSANTO DO BRASIL LTDA,    6.5148,    1.051,    6.197, 0.000,    4.454,    8.576
Cliente_MONSANTO NORDESTE IND COM DE PRODUTOS QUIMICOS LTDA,    4.6201,    0.731,    6.322, 0.000,    3.187,    6.053
Cliente_MONT GRANITOS SA,    3.7440,    1.308,    2.863, 0.004,    1.180,    6.308
Cliente_MONTE NEGRO MARMORES E GRANITOS LTDA,    4.4056,    1.066,    4.132, 0.000,    2.315,    6.496
"Cliente_MONTECITRUS TRADING S/A,",    4.2995,    0.749,    5.740, 0.000,    2.831,    5.768
Cliente_MONTREAL COMERCIO DE GENEROS ALIMENTICIOS LTDA,    2.7592,    0.860,    3.208, 0.001,    1.073,    4.445
"Cliente_MORENA ROSA INDUSTRIA DE CONFECCOES LTDA,",    1.5045,    1.089,    1.381, 0.167,   -0.631,    3.640
Cliente_MOULD INDUSTRIA DE MATRIZES LTDA,    3.5519,    0.739,    4.807, 0.000,    2.103,    5.000
Cliente_MOVEIS KATZER LTDA,    3.2367,    1.066,    3.037, 0.002,    1.148,    5.326
Cliente_MOVEIS ROHDE LTDA,    2.5482,    1.079,    2.362, 0.018,    0.433,    4.663
Cliente_MOVEIS RUDNICK S A,    2.2326,    0.751,    2.971, 0.003,    0.759,    3.706
Cliente_MOVEIS SANDRIN LTDA,    2.7094,    0.719,    3.769, 0.000,    1.300,    4.119
Cliente_MOVEIS WAELY LTDA,    1.9624,    1.058,    1.854, 0.064,   -0.112,    4.037
Cliente_MUELLER ELETRODOMESTICOS LTDA,    3.8058,    1.067,    3.568, 0.000,    1.715,    5.897
"Cliente_MUELLER FOGOES LTDA,",    3.4671,    0.896,    3.868, 0.000,    1.710,    5.224
Cliente_MULTIMOVEIS INDUSTRIA DE MOVEIS LTDA,    4.0517,    0.772,    5.251, 0.000,    2.539,    5.564
Cliente_MUNTERS BRASIL INDUSTRIA E COMERCIO LTDA,    2.2965,    0.923,    2.488, 0.013,    0.487,    4.106
Cliente_MURI ENGENHARIA INDUSTRIAL LTDA,    5.3808,    0.757,    7.110, 0.000,    3.897,    6.864
Cliente_MWL BRASIL RODAS E EIXOS LTDA,    3.9815,    0.819,    4.863, 0.000,    2.376,    5.587
"Cliente_MWM - TUPY DO BRASIL LTDA,",    5.9037,    0.785,    7.524, 0.000,    4.366,    7.442
Cliente_MWM INTERNATIONAL INDUSTRIA DE MOTORES DA AMERICA DO SU,    3.9733,    1.051,    3.780, 0.000,    1.912,    6.034
Cliente_MZF4 FIOS TECNICOS E UTILIDADES LTDA,    3.5001,    1.053,    3.325, 0.001,    1.437,    5.563
Cliente_N&N POLPAS E FRUTAS LTDA,    2.8479,    1.051,    2.709, 0.007,    0.787,    4.909
Cliente_NADIR FIGUEIREDO IND COM S A,    5.0264,    0.883,    5.695, 0.000,    3.296,    6.757
"Cliente_NANSEN INSTRUMENTOS DE PRECISAO LTDA,",    2.8069,    0.783,    3.584, 0.000,    1.272,    4.342
Cliente_NATUR INDUSTRIA DE COUROS LTDA,    3.7081,    1.060,    3.497, 0.000,    1.630,    5.787
Cliente_NATURAL WAX INDUTRIA DE CERA LTDA,    1.8987,    1.160,    1.637, 0.102,   -0.375,    4.172
Cliente_NB MAQUINAS LTDA,    4.0730,    0.723,    5.631, 0.000,    2.655,    5.491
Cliente_NEMER MARMORES E GRANITOS SA,    3.2535,    1.217,    2.674, 0.008,    0.868,    5.639
Cliente_NESTLE BRASIL LTDA,    5.5475,    0.763,    7.271, 0.000,    4.052,    7.043
Cliente_NETUNO ALIMENTOS S/A EM RECUPERACAO JUDICIAL,    2.8736,    0.880,    3.265, 0.001,    1.148,    4.599
Cliente_NETZSCH DO BRASIL INDUSTRIA E COMERCIO LTDA,    4.5570,    1.064,    4.285, 0.000,    2.472,    6.642
Cliente_NEUGEBAUER ALIMENTOS S/A,    4.3104,    1.057,    4.078, 0.000,    2.238,    6.383
"Cliente_NEUMAYER TEKFOR AUTOMOTIVE BRASIL LTDA,",    3.2341,    1.052,    3.075, 0.002,    1.172,    5.296
"Cliente_NEWTON INDUSTRIA E COMERCIO LTDA,",    3.1082,    0.881,    3.528, 0.000,    1.381,    4.835
Cliente_NEXANS BRASIL S/A,    4.6950,    0.749,    6.266, 0.000,    3.226,    6.164
"Cliente_NG METALURGICA S,A,",    4.6204,    1.052,    4.393, 0.000,    2.559,    6.682
Cliente_NILCATEX TEXTIL LTDA,    3.5111,    1.059,    3.314, 0.001,    1.434,    5.588
Cliente_NIPRO MEDICAL LTDA,    3.7246,    1.052,    3.540, 0.000,    1.662,    5.787
Cliente_NIROFLEX IMPORTACAO E EXPORTACAO LTDA,    3.3229,    0.826,    4.023, 0.000,    1.704,    4.942
Cliente_NOKIA DO BRASIL TECNOLOGIA LTDA,    7.4303,    0.934,    7.952, 0.000,    5.598,    9.262
Cliente_NOMA DO BRASIL SOCIEDADE ANONIMA,    2.8593,    0.798,    3.584, 0.000,    1.295,    4.423
Cliente_NORTE PESCA SA,    3.1635,    1.259,    2.513, 0.012,    0.696,    5.631
Cliente_NOVA AURORA MARMORES E GRANITOS LTDA,    4.0287,    1.210,    3.330, 0.001,    1.657,    6.400
Cliente_NOVARTIS BIOCIENCIAS S/A,    5.8880,    1.052,    5.598, 0.000,    3.826,    7.950
Cliente_NOVO PISO S/A ENGENHARIA DE REVESTIMENTOS,    2.9437,    0.783,    3.759, 0.000,    1.409,    4.479
Cliente_NOVUS - PRODUTOS ELETRONICOS LTDA,    4.2483,    0.884,    4.803, 0.000,    2.514,    5.982
Cliente_OBER SA INDUSTRIA E COMERCIO,    4.4937,    0.785,    5.724, 0.000,    2.955,    6.033
Cliente_OBERTHUR TECHNOLOGIES - SISTEMA DE CARTOES LTDA,    5.7708,    1.052,    5.487, 0.000,    3.709,    7.832
Cliente_OCEANO IND E COM DE MADEIRAS LTDA,   -1.0081,    1.342,   -0.751, 0.453,   -3.640,    1.624
Cliente_ODEBRECHT COMERCIO E INDUSTRIA DE CAFE LTDA,    2.8413,    0.952,    2.984, 0.003,    0.975,    4.708
Cliente_OEM COMERCIO EXTERIOR LTDA,    2.4261,    0.917,    2.646, 0.008,    0.629,    4.223
"Cliente_OLEOPLAN S,A, OLEOS VEGETAIS PLANALTO",    3.8445,    0.827,    4.647, 0.000,    2.223,    5.466
Cliente_OLIDEF CZ IND E COM DE APARELHOS HOSPITALARES LTDA,    2.6763,    0.737,    3.631, 0.000,    1.231,    4.121
Cliente_OLIMPUS INDUSTRIAL E COMERCIAL LTDA,    2.6180,    1.050,    2.493, 0.013,    0.560,    4.676
Cliente_OMECO INDUSTRIA E COMERCIO DE MAQUINAS LTDA,    3.1994,    0.809,    3.953, 0.000,    1.613,    4.786
Cliente_ONESUBSEA DO BRASIL SERVICOS SUBMARINOS LTDA,    6.9357,    0.845,    8.207, 0.000,    5.279,    8.592
Cliente_ORTOBRAS INDUSTRIA E COMERCIO DE ORTOPEDIA LTDA,    4.3619,    1.061,    4.110, 0.000,    2.281,    6.442
"Cliente_OSTERNO IND, E COMERCIO DE MOV, LTDA",    2.8802,    1.027,    2.804, 0.005,    0.866,    4.894
Cliente_OURO FINO SAUDE ANIMAL LTDA,    3.6215,    0.707,    5.123, 0.000,    2.236,    5.007
Cliente_OXFORD PORCELANAS S/A,    2.9011,    0.707,    4.101, 0.000,    1.514,    4.288
Cliente_OXITENO NORDESTE S A INDUSTRIA E COMERCIO,    5.8466,    0.810,    7.216, 0.000,    4.258,    7.435
Cliente_OXITENO S A INDUSTRIA E COMERCIO,    5.0596,    1.051,    4.813, 0.000,    2.999,    7.120
Cliente_P B ZANZINI & CIA,    3.2200,    0.817,    3.941, 0.000,    1.618,    4.822
Cliente_PADTEC S/A,    3.7581,    0.883,    4.255, 0.000,    2.026,    5.490
Cliente_PALETRANS EQUIPAMENTOS LTDA,    2.0343,    1.052,    1.934, 0.053,   -0.027,    4.096
Cliente_PALINI & ALVES LTDA,    3.2151,    0.729,    4.412, 0.000,    1.786,    4.644
Cliente_PALMALI - INDUSTRIAL DE ALIMENTOS LTDA,    2.3597,    0.859,    2.747, 0.006,    0.676,    4.044
Cliente_PAMESA DO BRASIL S/A,    2.9902,    0.982,    3.047, 0.002,    1.066,    4.914
Cliente_PAMPLONA ALIMENTOS S/A,    4.3499,    0.837,    5.196, 0.000,    2.709,    5.991
Cliente_PANDURATA ALIMENTOS LTDA,    3.2925,    0.743,    4.432, 0.000,    1.836,    4.749
