,Cliente,UF,Ano da Operação,Valor da Operação em R$,Valor Desembolsado em Reais,Setor CNAE,Subsetor CNAE Agrupado,Porte do cliente,Natureza,Instituição Financeira Credenciada,Contribuição do UF ao PIB Nacional (%)
4170,MAHLE BEHR GERENCIAMENTO TERMICO BRASIL LTDA,São Paulo,2010,15000000,15000000.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.3331824407909009
4171,BORGWARNER BRASIL LTDA,São Paulo,2010,7628836,7628836.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,BANCO DO BRASIL SA,0.3331824407909009
4172,"IRIZAR BRASIL LTDA,",São Paulo,2010,6380150,6380150.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,"BANCO BRADESCO S,A,",0.3331824407909009
4173,INDUSTRIA DE MOVEIS BECHARA NASSAR LTDA,São Paulo,2010,2734350,2734350.0,INDUSTRIA DE TRANSFORMAÇÃO,Móveis,MÉDIA,PRIVADA,"BANCO BRADESCO S,A,",0.3331824407909009
4176,SAMPEL INDUSTRIA LTDA,São Paulo,2010,2997555,2997555.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",MÉDIA,PRIVADA,BANCO DO BRASIL SA,0.3331824407909009
4177,GD BURTI S/A,São Paulo,2010,8100000,8100000.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.3331824407909009
4178,FANEM LTDA,São Paulo,2010,2725050,2725050.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos diversos,MÉDIA,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.3331824407909009
4156,ACUCAREIRA QUATA S/A,São Paulo,2010,1886043,1886043.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.3331824407909009
4155,"TMD FRICTION DO BRASIL S,A,",São Paulo,2010,4000000,4000000.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,"BANCO BRADESCO S,A,",0.3331824407909009
4142,BOBST LATINOAMERICA DO SUL LTDA,São Paulo,2010,10000000,10000000.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,",0.3331824407909009
4138,"ISOLET INDUSTRIA E COMERCIO LTDA,",São Paulo,2010,1093740,1093740.0,COMERCIO E SERVICOS,Construção,MÉDIA,PRIVADA,BANCO DO BRASIL SA,0.3331824407909009
