,Cliente,UF,Ano da Operação,Valor da Operação em R$,Valor Desembolsado em Reais,Setor CNAE,Subsetor CNAE Agrupado,Porte do cliente,Natureza,Instituição Financeira Credenciada,Contribuição do UF ao PIB Nacional (%)
533,DAMBROZ EMPREENDIMENTOS E ADMINISTRACAO LTDA,Rio Grande do Sul,2002,555255,555255.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,MÉDIA,PRIVADA,CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/A,0.06639444908850765
363,COROL COOP AGROINDUSTRIAL,Paraná,2002,783125,783125.0,AGROPECUÁRIA E PESCA,Agropecuária,GRANDE,PRIVADA,CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/A,0.05926683846806332
355,C S PESQUISAS E PARTICIPACOES INDUSTRIAIS LTDA,Paraná,2002,643001,644789.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"BANCO BRADESCO S,A,",0.05926683846806332
351,"RENUKA VALE DO IVAI S,A, - EM RECUPERACAO JUDICIAL",Paraná,2002,1549400,1713850.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/A,0.05926683846806332
349,FRIMESA COOPERATIVA CENTRAL,Paraná,2002,2721825,3290906.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,MÉDIA,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.05926683846806332
348,"C,VALE - COOPERATIVA AGROINDUSTRIAL",Paraná,2002,3098800,3123900.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO SAFRA S,A,",0.05926683846806332
339,AFFONSO DITZEL & CIA LTDA,Paraná,2002,417947,467033.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MÉDIA,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.05926683846806332
333,"ATLAS INDUSTRIA DE ELETRODOMESTICOS LTDA,",Paraná,2002,1211440,1353720.0,INDUSTRIA DE TRANSFORMAÇÃO,"Máq, aparelho eletrico",GRANDE,PRIVADA,"BANCO UNICO S,A,",0.05926683846806332
322,"TOTVS LARGE ENTERPRISE TECNOLOGIA S,A,",Paraná,2002,604460,778980.0,INDUSTRIA DE TRANSFORMAÇÃO,"Equip info, eletronico, ótico",GRANDE,PRIVADA,"BOSTON NEGOCIOS E PARTICIPACOES LTDA,",0.05926683846806332
321,CASAGRANDE REVESTIMENTOS CERAMICOS S/A,Paraná,2002,453345,468585.0,INDUSTRIA DE TRANSFORMAÇÃO,Mineral não metálico,MÉDIA,PRIVADA,BANCO DO BRASIL SA,0.05926683846806332
298,BOTICA COMERCIAL FARMACEUTICA LTDA,Paraná,2002,986120,988047.0,INDUSTRIA DE TRANSFORMAÇÃO,Química,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.05926683846806332
282,"RENAULT DO BRASIL S,A",Paraná,2002,24975200,24991200.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.05926683846806332
242,SEARA IND E COM DE PRODUTOS AGRO-PECUARIOS LTDA,Paraná,2002,923640,939360.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.05926683846806332
221,COMPANHIA CACIQUE DE CAFE SOLUVEL,Paraná,2002,3113600,3123900.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.05926683846806332
217,WYNY DO BRASIL IND E COM DE COUROS LTDA,Paraná,2002,622720,605720.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.05926683846806332
216,"VANCOUROS INDUSTRIA E COMERCIO DE COUROS LTDA,",Paraná,2002,311360,302860.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",MÉDIA,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.05926683846806332
364,COROL COOP AGROINDUSTRIAL,Paraná,2002,2349375,2538225.0,AGROPECUÁRIA E PESCA,Agropecuária,GRANDE,PRIVADA,CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/A,0.05926683846806332
367,LAR COOPERATIVA AGROINDUSTRIAL,Paraná,2002,3132500,3137330.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.05926683846806332
368,"C,VALE - COOPERATIVA AGROINDUSTRIAL",Paraná,2002,1096375,1184505.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.05926683846806332
372,IBEMA COMPANHIA BRASILEIRA DE PAPEL,Paraná,2002,1260480,1353720.0,INDUSTRIA DE TRANSFORMAÇÃO,Celulose e papel,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.05926683846806332
463,COMPENSADOS FAUNA BRAZIL LTDA,Paraná,2002,518782,518782.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MÉDIA,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,",0.05926683846806332
462,ALLTIMBER INDUSTRIA DE MADEIRAS LTDA,Paraná,2002,411324,470736.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MÉDIA,PRIVADA,BANCO DO BRASIL SA,0.05926683846806332
461,PINEPLY COMPENSADOS LTDA,Paraná,2002,518782,518782.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MÉDIA,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,",0.05926683846806332
454,WAP DO BRASIL LTDA,Paraná,2002,198732,198732.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"BANCO BRADESCO S,A,",0.05926683846806332
453,CASAGRANDE REVESTIMENTOS CERAMICOS S/A,Paraná,2002,498600,548895.0,INDUSTRIA DE TRANSFORMAÇÃO,Mineral não metálico,MÉDIA,PRIVADA,BANCO DO BRASIL SA,0.05926683846806332
431,EVERTIS BRASIL PLASTICOS S/A,Paraná,2002,1354758,1674807.0,INDUSTRIA DE TRANSFORMAÇÃO,Borracha e plástico,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.05926683846806332
424,SEARA IND E COM DE PRODUTOS AGRO-PECUARIOS LTDA,Paraná,2002,780975,780975.0,AGROPECUÁRIA E PESCA,Agropecuária,GRANDE,PRIVADA,CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/A,0.05926683846806332
206,APUCACOUROS INDUSTRIA E EXPORTACAO DE COUROS S/A,Paraná,2002,942510,908580.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.05926683846806332
423,SEARA IND E COM DE PRODUTOS AGRO-PECUARIOS LTDA,Paraná,2002,780975,950375.0,AGROPECUÁRIA E PESCA,Agropecuária,GRANDE,PRIVADA,CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/A,0.05926683846806332
415,"TOTVS LARGE ENTERPRISE TECNOLOGIA S,A,",Paraná,2002,312390,351067.0,INDUSTRIA DE TRANSFORMAÇÃO,"Equip info, eletronico, ótico",GRANDE,PRIVADA,"BOSTON NEGOCIOS E PARTICIPACOES LTDA,",0.05926683846806332
414,HUBNER INDUSTRIA MECANICA LTDA,Paraná,2002,624780,731860.0,INDUSTRIA DE TRANSFORMAÇÃO,Produto de metal,MÉDIA,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.05926683846806332
413,C S PESQUISAS E PARTICIPACOES INDUSTRIAIS LTDA,Paraná,2002,624780,624780.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,",0.05926683846806332
398,APUCACOUROS INDUSTRIA E EXPORTACAO DE COUROS S/A,Paraná,2002,939180,1086480.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,BANCO DO BRASIL SA,0.05926683846806332
392,FAMOSSUL MADEIRAS S/A,Paraná,2002,1585327,1585327.0,INDUSTRIA DE TRANSFORMAÇÃO,Móveis,MÉDIA,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.05926683846806332
388,"C,VALE - COOPERATIVA AGROINDUSTRIAL",Paraná,2002,3178300,3725700.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.05926683846806332
374,WYNY DO BRASIL IND E COM DE COUROS LTDA,Paraná,2002,2930616,3488988.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,BANCO DO BRASIL SA,0.05926683846806332
416,"TOTVS LARGE ENTERPRISE TECNOLOGIA S,A,",Paraná,2002,1249560,1249560.0,INDUSTRIA DE TRANSFORMAÇÃO,"Equip info, eletronico, ótico",GRANDE,PRIVADA,"BOSTON NEGOCIOS E PARTICIPACOES LTDA,",0.05926683846806332
189,COOPAVEL COOPERATIVA AGROINDUSTRIAL,Paraná,2002,3141700,3098800.0,AGROPECUÁRIA E PESCA,Agropecuária,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.05926683846806332
177,SOYCOMEX COMERCIAL E EXPORTADORA LTDA,Paraná,2002,24635200,31159200.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.05926683846806332
171,"MOINHO IGUACU AGROINDUSTRIAL S,A,",Paraná,2002,1539700,1594200.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.05926683846806332
208,GUARANY INDUSTRIA E COMERCIO LTDA,São Paulo,2002,311360,338430.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,MÉDIA,PRIVADA,BANCO DO BRASIL SA,0.34852448255340945
207,CIA IMPORTADORA E EXPORTADORA COIMEX,São Paulo,2002,12454400,13537200.0,COMERCIO E SERVICOS,Comércio,GRANDE,PRIVADA,MASSA FALIDA DO BANCO SANTOS,0.34852448255340945
205,TINTO HOLDING LTDA,São Paulo,2002,6283400,6308652.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO SAFRA S,A,",0.34852448255340945
202,MWM INTERNATIONAL INDUSTRIA DE MOTORES DA AMERICA DO SU,São Paulo,2002,3151581,3160014.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,"BANCO SAFRA S,A,",0.34852448255340945
201,AJINOMOTO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS L,São Paulo,2002,6283400,6296981.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,BANCO DO BRASIL SA,0.34852448255340945
200,"ACOS VILLARES S/A,",São Paulo,2002,4712550,4767450.0,INDUSTRIA DE TRANSFORMAÇÃO,Metalurgia,GRANDE,PRIVADA,"BANCO SAFRA S,A,",0.34852448255340945
199,LOUIS DREYFUS COMPANY BRASIL S/A,São Paulo,2002,25133600,25060000.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO SAFRA S,A,",0.34852448255340945
209,BRACELL SP CELULOSE LTDA,São Paulo,2002,7784000,7809750.0,INDUSTRIA DE TRANSFORMAÇÃO,Celulose e papel,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.34852448255340945
198,"USINAS SIDERURGICAS DE MINAS GERAIS S/A, USIMINAS",São Paulo,2002,1570850,1575300.0,INDUSTRIA DE TRANSFORMAÇÃO,Metalurgia,GRANDE,PRIVADA,BANCO PINE S/A,0.34852448255340945
196,"USINAS SIDERURGICAS DE MINAS GERAIS S/A, USIMINAS",São Paulo,2002,3141700,3150600.0,INDUSTRIA DE TRANSFORMAÇÃO,Metalurgia,GRANDE,PRIVADA,BANCO PINE S/A,0.34852448255340945
195,LUK DO BRASIL EMBREAGENS LTDA,São Paulo,2002,3141700,3145904.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,BANCO DO BRASIL SA,0.34852448255340945
194,"SCHAEFFLER BRASIL LTDA,",São Paulo,2002,9425100,9443532.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,BANCO DO BRASIL SA,0.34852448255340945
191,BRASKEM PETROQUIMICA LTDA,São Paulo,2002,6283400,6291807.0,INDUSTRIA DE TRANSFORMAÇÃO,Química,GRANDE,PRIVADA,"BANCO SAFRA S,A,",0.34852448255340945
188,"ADIBOARD S,A, - GRUPO ITAUTEC PHILCO",São Paulo,2002,9425100,9435771.0,INDUSTRIA DE TRANSFORMAÇÃO,"Equip info, eletronico, ótico",GRANDE,PRIVADA,"BANCO SAFRA S,A,",0.34852448255340945
187,CONFAB INDUSTRIAL SOCIEDADE ANONIMA,São Paulo,2002,15708500,15727902.0,INDUSTRIA DE TRANSFORMAÇÃO,Metalurgia,GRANDE,PRIVADA,"BANCO SAFRA S,A,",0.34852448255340945
182,"MONTECITRUS TRADING S/A,",São Paulo,2002,3141700,3188400.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BOSTON NEGOCIOS E PARTICIPACOES LTDA,",0.34852448255340945
197,"USINAS SIDERURGICAS DE MINAS GERAIS S/A, USIMINAS",São Paulo,2002,3141700,3150600.0,INDUSTRIA DE TRANSFORMAÇÃO,Metalurgia,GRANDE,PRIVADA,BANCO PINE S/A,0.34852448255340945
472,PALMALI - INDUSTRIAL DE ALIMENTOS LTDA,Paraná,2002,289728,289728.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.05926683846806332
210,USINA MOEMA ACUCAR E ALCOOL LTDA,São Paulo,2002,9340800,9371700.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,",0.34852448255340945
212,"SCHAEFFLER BRASIL LTDA,",São Paulo,2002,3113600,3117124.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.34852448255340945
161,LINEA PARANA MADEIRAS LTDA,Paraná,2002,642656,643517.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MÉDIA,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,",0.05926683846806332
160,FAMOSSUL MADEIRAS S/A,Paraná,2002,968300,969596.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos diversos,MÉDIA,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,",0.05926683846806332
147,ANGELO CAMILOTTI CIA LTDA,Paraná,2002,810770,812023.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MÉDIA,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,",0.05926683846806332
143,"TRIANGULO PISOS E PAINEIS LTDA,",Paraná,2002,3073200,3082706.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MÉDIA,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.05926683846806332
123,MONTREAL COMERCIO DE GENEROS ALIMENTICIOS LTDA,Paraná,2002,853650,854790.0,INDUSTRIA DE TRANSFORMAÇÃO,"Couro, artefato e calçado",GRANDE,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,",0.05926683846806332
104,AGRICOLA JANDELLE S/A,Paraná,2002,1884540,1888021.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.05926683846806332
44,ELDORADO EXPORT MADEIRAS LTDA,Paraná,2002,608002,609510.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MICRO,PRIVADA,"ITAU UNIBANCO S,A,",0.05926683846806332
211,"SCHAEFFLER BRASIL LTDA,",São Paulo,2002,12454400,12477467.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"BANCO ITAUBANK S,A",0.34852448255340945
43,SERRARIAS CAMPOS DE PALMAS SA,Paraná,2002,4764376,4781856.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MÉDIA,PRIVADA,MASSA FALIDA DO BANCO SANTOS,0.05926683846806332
34,LAR COOPERATIVA AGROINDUSTRIAL,Paraná,2002,4696400,4712245.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.05926683846806332
33,LAR COOPERATIVA AGROINDUSTRIAL,Paraná,2002,4765400,4791053.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,BANCO CITIBANK S A,0.05926683846806332
228,RHODIA POLIAMIDA E ESPECIALIDADES SA,São Paulo,2002,10586240,13128420.0,INDUSTRIA DE TRANSFORMAÇÃO,Química,GRANDE,PRIVADA,"BANCO MODAL S,A,",0.34852448255340945
223,"MONTECITRUS TRADING S/A,",São Paulo,2002,7784000,7971000.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.34852448255340945
220,"ASGA S,A",São Paulo,2002,498176,498176.0,INDUSTRIA DE TRANSFORMAÇÃO,"Equip info, eletronico, ótico",GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,",0.34852448255340945
219,"ASGA S,A",São Paulo,2002,124544,149402.0,INDUSTRIA DE TRANSFORMAÇÃO,"Equip info, eletronico, ótico",GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,",0.34852448255340945
218,FORD MOTOR COMPANY BRASIL LTDA,São Paulo,2002,24908800,24228800.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,"BANCO ITAUBANK S,A",0.34852448255340945
37,LAR COOPERATIVA AGROINDUSTRIAL,Paraná,2002,5858000,5868239.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.05926683846806332
473,"CAMIFRA SA - MADEIRAS, AGRICULTURA E PECUARIA",Paraná,2002,181080,193065.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MICRO,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.05926683846806332
477,TERMOPAR IMPORT LTDA,Paraná,2002,3690048,3690048.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,MICRO,PRIVADA,"BANCO BRADESCO S,A,",0.05926683846806332
488,ANGELO CAMILOTTI CIA LTDA,Paraná,2002,186285,186285.0,INDUSTRIA DE TRANSFORMAÇÃO,Madeira,MÉDIA,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.05926683846806332
299,INDEPENDENCIA S/A,São Paulo,2002,9371700,9397742.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,MASSA FALIDA DO BANCO SANTOS,0.34852448255340945
288,SABO INDUSTRIA E COMERCIO DE AUTOPECAS LTDA,São Paulo,2002,2185330,2205420.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.34852448255340945
287,SABO INDUSTRIA E COMERCIO DE AUTOPECAS LTDA,São Paulo,2002,2185330,2189826.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.34852448255340945
286,"USINAS SIDERURGICAS DE MINAS GERAIS S/A, USIMINAS",São Paulo,2002,3141700,3098800.0,INDUSTRIA DE TRANSFORMAÇÃO,Metalurgia,GRANDE,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,",0.34852448255340945
285,"USINAS SIDERURGICAS DE MINAS GERAIS S/A, USIMINAS",São Paulo,2002,3141700,3098800.0,INDUSTRIA DE TRANSFORMAÇÃO,Metalurgia,GRANDE,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,",0.34852448255340945
284,PERDIGAO AGROINDUSTRIAL S/A,São Paulo,2002,24635200,25060000.0,AGROPECUÁRIA E PESCA,Agropecuária,GRANDE,PRIVADA,"BANCO ITAUBANK S,A",0.34852448255340945
283,RIPASA S/A CELULOSE E PAPEL,São Paulo,2002,24908800,25060000.0,INDUSTRIA DE TRANSFORMAÇÃO,Celulose e papel,GRANDE,PRIVADA,"BANCO ITAUBANK S,A",0.34852448255340945
304,LABORATORIOS PFIZER LTDA,São Paulo,2002,24991200,25045178.0,INDUSTRIA DE TRANSFORMAÇÃO,"Farmoquímico, farmacêutico",GRANDE,PRIVADA,"BOSTON NEGOCIOS E PARTICIPACOES LTDA,",0.34852448255340945
281,INDEPENDENCIA S/A,São Paulo,2002,3434090,3465660.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BOSTON NEGOCIOS E PARTICIPACOES LTDA,",0.34852448255340945
272,INDUSTRIA GRAFICA FORONI LTDA,São Paulo,2002,312190,372972.0,INDUSTRIA DE TRANSFORMAÇÃO,Gráfica,GRANDE,PRIVADA,"BCV - BANCO DE CREDITO E VAREJO S/A,",0.34852448255340945
270,ALSTOM HYDRO ENERGIA BRASIL LTDA,São Paulo,2002,7909944,8574785.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"BANCO MODAL S,A,",0.34852448255340945
269,LORENZETTI SA INDUSTRIAS BRASILEIRAS ELETROMETALURGICAS,São Paulo,2002,631258,637061.0,INDUSTRIA DE TRANSFORMAÇÃO,"Máq, aparelho eletrico",GRANDE,PRIVADA,"KIRTON BANK S,A, - BANCO MULTIPLO",0.34852448255340945
268,PMG TRADING S/A,São Paulo,2002,6243800,6261794.0,AGROPECUÁRIA E PESCA,Agropecuária,GRANDE,PRIVADA,MASSA FALIDA DO BANCO SANTOS,0.34852448255340945
266,MAXION COMPONENTES ESTRUTURAIS LTDA,São Paulo,2002,1320470,1323458.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,BANCO DO BRASIL SA,0.34852448255340945
265,JBS S/A,São Paulo,2002,3746280,4673880.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO SAFRA S,A,",0.34852448255340945
261,INDUSTRIA GRAFICA FORONI LTDA,São Paulo,2002,1237960,1237960.0,INDUSTRIA DE TRANSFORMAÇÃO,Gráfica,GRANDE,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,",0.34852448255340945
273,INDUSTRIA GRAFICA FORONI LTDA,São Paulo,2002,1248760,1248760.0,INDUSTRIA DE TRANSFORMAÇÃO,Gráfica,GRANDE,PRIVADA,"BCV - BANCO DE CREDITO E VAREJO S/A,",0.34852448255340945
260,INDUSTRIA GRAFICA FORONI LTDA,São Paulo,2002,309490,362709.0,INDUSTRIA DE TRANSFORMAÇÃO,Gráfica,GRANDE,PRIVADA,"BANCO BRADESCO FINANCIAMENTOS S,A,",0.34852448255340945
309,INDEPENDENCIA S/A,São Paulo,2002,21867300,21867300.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO BRADESCO S,A,",0.34852448255340945
312,PRODUTOS ROCHE QUIMICOS E FAMACEUTICOS S/A,São Paulo,2002,8746920,8746920.0,INDUSTRIA DE TRANSFORMAÇÃO,"Farmoquímico, farmacêutico",GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.34852448255340945
371,"MINERVA S,A,",São Paulo,2002,3151200,3725700.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO UNICO S,A,",0.34852448255340945
369,AJINOMOTO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS L,São Paulo,2002,3132500,3139267.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,BANCO DO BRASIL SA,0.34852448255340945
365,DORI ALIMENTOS LTDA,São Paulo,2002,1566250,1692150.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,",0.34852448255340945
354,FISCHER S/A - AGROINDUSTRIA,São Paulo,2002,6197600,7789800.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,"BANCO BRADESCO S,A,",0.34852448255340945
350,JBS S/A,São Paulo,2002,9296400,9296400.0,INDUSTRIA DE TRANSFORMAÇÃO,Produtos Alimentícios,GRANDE,PRIVADA,CHINA CONSTRUCTION BANK (BRASIL) BANCO MULTIPLO S/A,0.34852448255340945
340,FABRICA DE ARTEFATOS DE LATEX SAO ROQUE LTDA,São Paulo,2002,1211440,1353720.0,INDUSTRIA DE TRANSFORMAÇÃO,Borracha e plástico,GRANDE,PRIVADA,"BOSTON NEGOCIOS E PARTICIPACOES LTDA,",0.34852448255340945
338,"RHODIA BRASIL S,A,",São Paulo,2002,6057200,7722600.0,INDUSTRIA DE TRANSFORMAÇÃO,Química,GRANDE,PRIVADA,"BANCO SAFRA S,A,",0.34852448255340945
311,PRODUTOS ROCHE QUIMICOS E FAMACEUTICOS S/A,São Paulo,2002,2186730,2687448.0,INDUSTRIA DE TRANSFORMAÇÃO,"Farmoquímico, farmacêutico",GRANDE,PRIVADA,"ITAU UNIBANCO S,A,",0.34852448255340945
337,RHODIA POLIAMIDA E ESPECIALIDADES SA,São Paulo,2002,7874360,10039380.0,INDUSTRIA DE TRANSFORMAÇÃO,Química,GRANDE,PRIVADA,"BANCO SAFRA S,A,",0.34852448255340945
334,ALSTOM HYDRO ENERGIA BRASIL LTDA,São Paulo,2002,7673550,9439789.0,INDUSTRIA DE TRANSFORMAÇÃO,Máquinas e equipamentos,GRANDE,PRIVADA,"BANCO BRADESCO S,A,",0.34852448255340945
332,"MAHLE COMPONENTES DE MOTORES DO BRASIL LTDA,",São Paulo,2002,24228800,24991200.0,INDUSTRIA DE TRANSFORMAÇÃO,"Veículo, reboque e carroceria",GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,",0.34852448255340945
331,"ACOS VILLARES S/A,",São Paulo,2002,12114400,15445200.0,INDUSTRIA DE TRANSFORMAÇÃO,Produto de metal,GRANDE,PRIVADA,"BANCO SANTANDER (BRASIL) S,A,",0.34852448255340945
330,ELIANE S/A - REVESTIMENTOS CERAMICOS,São Paulo,2002,3028600,3894900.0,INDUSTRIA DE TRANSFORMAÇÃO,Mineral não metálico,GRANDE,PRIVADA,BANCO DO BRASIL SA,0.34852448255340945
