0,1,2,3
Omnibus:,473.943,Durbin-Watson:,1.799
Prob(Omnibus):,0.0,Jarque-Bera (JB):,2319.561
Skew:,0.048,Prob(JB):,0.0
Kurtosis:,5.802,Cond. No.,4.2e+17
