
Table 1: N
Dep. Variable:,Valor Desembolsado em Reais,  R-squared (uncentered):,   0.998
Model:,OLS,  Adj. R-squared (uncentered):,   0.997
Method:,Least Squares,  F-statistic:       ,   1875.
Date:,"Tue, 28 May 2024",  Prob (F-statistic):,  0.00
Time:,08:18:50,  Log-Likelihood:    , -7845.0
No. Observations:,  7080,  AIC:               ,1.844e+04
Df Residuals:,  5704,  BIC:               ,2.789e+04
Df Model:,  1376,                     , 
Covariance Type:,nonrobust,                     , 


Table 2: o
,coef,std err,t,P>|t|,[0.025,0.975]
Cliente_MURI ENGENHARIA INDUSTRIAL LTDA,    8.2902,    0.686,   12.085, 0.000,    6.945,    9.635
Cliente_MWL BRASIL RODAS E EIXOS LTDA,    6.9665,    0.762,    9.145, 0.000,    5.473,    8.460
"Cliente_MWM - TUPY DO BRASIL LTDA,",    8.9646,    0.718,   12.480, 0.000,    7.556,   10.373
Cliente_MWM INTERNATIONAL INDUSTRIA DE MOTORES DA AMERICA DO SU,    6.6171,    1.012,    6.537, 0.000,    4.633,    8.602
Cliente_MZF4 FIOS TECNICOS E UTILIDADES LTDA,    6.8357,    1.012,    6.754, 0.000,    4.852,    8.820
Cliente_N&N POLPAS E FRUTAS LTDA,    5.8091,    1.012,    5.739, 0.000,    3.825,    7.794
Cliente_NADIR FIGUEIREDO IND COM S A,    7.8381,    0.832,    9.426, 0.000,    6.208,    9.468
"Cliente_NANSEN INSTRUMENTOS DE PRECISAO LTDA,",    5.5044,    0.727,    7.572, 0.000,    4.079,    6.929
Cliente_NATUR INDUSTRIA DE COUROS LTDA,    6.7140,    1.013,    6.628, 0.000,    4.728,    8.700
Cliente_NATURAL WAX INDUTRIA DE CERA LTDA,    5.1026,    1.113,    4.585, 0.000,    2.921,    7.284
Cliente_NB MAQUINAS LTDA,    7.0194,    0.657,   10.692, 0.000,    5.732,    8.306
Cliente_NEMER MARMORES E GRANITOS SA,    6.1756,    1.178,    5.242, 0.000,    3.866,    8.485
Cliente_NESTLE BRASIL LTDA,    8.3831,    0.701,   11.958, 0.000,    7.009,    9.758
Cliente_NETUNO ALIMENTOS S/A EM RECUPERACAO JUDICIAL,    5.9316,    0.819,    7.247, 0.000,    4.327,    7.536
Cliente_NETZSCH DO BRASIL INDUSTRIA E COMERCIO LTDA,    7.5116,    1.020,    7.361, 0.000,    5.511,    9.512
Cliente_NEUGEBAUER ALIMENTOS S/A,    7.1627,    1.013,    7.071, 0.000,    5.177,    9.149
"Cliente_NEUMAYER TEKFOR AUTOMOTIVE BRASIL LTDA,",    6.2971,    1.012,    6.221, 0.000,    4.313,    8.282
"Cliente_NEWTON INDUSTRIA E COMERCIO LTDA,",    6.1358,    0.831,    7.380, 0.000,    4.506,    7.766
