
Table 1: N
Dep. Variable:,Valor Desembolsado em Reais,  R-squared (uncentered):,   0.998
Model:,OLS,  Adj. R-squared (uncentered):,   0.997
Method:,Least Squares,  F-statistic:       ,   1875.
Date:,"Tue, 28 May 2024",  Prob (F-statistic):,  0.00
Time:,08:18:50,  Log-Likelihood:    , -7845.0
No. Observations:,  7080,  AIC:               ,1.844e+04
Df Residuals:,  5704,  BIC:               ,2.789e+04
Df Model:,  1376,                     , 
Covariance Type:,nonrobust,                     , 


Table 2: o
,coef,std err,t,P>|t|,[0.025,0.975]
"Cliente_PROMETEON TYRE GROUP INDUSTRIA BRASIL LTDA,",   10.4627,    1.012,   10.336, 0.000,    8.478,   12.447
Cliente_PROMINAS BRASIL EQUIPAMENTOS LTDA,    5.8411,    0.831,    7.026, 0.000,    4.211,    7.471
"Cliente_PROQUALIT TELECOM LTDA,",    4.2584,    0.831,    5.122, 0.000,    2.629,    5.888
Cliente_PROQUIGEL QUIMICA S/A,    5.4085,    1.036,    5.219, 0.000,    3.377,    7.440
Cliente_PROTON GRANITO LTDA,    7.5335,    1.337,    5.635, 0.000,    4.913,   10.154
Cliente_PROTURBO USINAGEM DE PRECISAO LTDA,    6.4303,    1.012,    6.353, 0.000,    4.446,    8.414
"Cliente_PRYSMIAN DRAKA BRASIL S,A",    7.1148,    0.701,   10.149, 0.000,    5.740,    8.489
Cliente_PRYSMIAN SURFLEX UMBILICAIS TUBOS FLEXIV DO BRASIL LTDA,    8.9665,    0.925,    9.697, 0.000,    7.154,   10.779
Cliente_PRYSMIAN TELECOMUNICACOES CABOS SISTEMAS DO BRASIL S/A,    7.4114,    0.673,   11.007, 0.000,    6.091,    8.731
Cliente_PST ELETRONICA LTDA,    8.3161,    0.986,    8.430, 0.000,    6.382,   10.250
Cliente_QUALIMAR COMERCIO IMPORTACAO E EXPORTACAO,    4.7507,    0.990,    4.798, 0.000,    2.809,    6.692
Cliente_QUIMICA AMPARO LTDA,    6.7059,    0.832,    8.064, 0.000,    5.076,    8.336
Cliente_QUINELATO INDUSTRIA E COMERCIO LTDA,    4.8977,    0.726,    6.744, 0.000,    3.474,    6.321
Cliente_R C M INDUSTRIA COMERCIO EXP SUBPRODUTO ANIMAL LTDA,    5.4654,    1.259,    4.340, 0.000,    2.997,    7.934
Cliente_RADA & PAULA LTDA,    5.6566,    0.831,    6.804, 0.000,    4.027,    7.286
Cliente_RANDON SA IMPLEMENTOS E PARTICIPACOES,    9.2555,    0.617,   14.992, 0.000,    8.045,   10.466
Cliente_RASIP ALIMENTOS LTDA,    7.6207,    0.763,    9.990, 0.000,    6.125,    9.116
Cliente_RASSINI NHK AUTOPECAS LTDA,    7.3673,    0.762,    9.671, 0.000,    5.874,    8.861
Cliente_RAUMAK MAQUINAS LTDA,    5.3834,    0.841,    6.398, 0.000,    3.734,    7.033
Cliente_RAYTON INDUSTRIAL S/A,    5.7616,    1.012,    5.692, 0.000,    3.777,    7.746
Cliente_RCD COMERCIO E INDUSTRIA LTDA,    7.4277,    1.012,    7.339, 0.000,    5.444,    9.412
Cliente_REALCAFE SOLUVEL DO BRASIL S/A,    7.3880,    0.897,    8.234, 0.000,    5.629,    9.147
Cliente_REBIERE GELATINAS DE PRESIDENTE EPITACIO LTDA,    5.9595,    0.832,    7.167, 0.000,    4.329,    7.590
Cliente_RECOURO INDUSTRIA DE COURO RECONSTITUIDO LTDA,    6.6340,    0.769,    8.624, 0.000,    5.126,    8.142
Cliente_REICHERT SA CALCADOS,    8.6501,    1.013,    8.539, 0.000,    6.664,   10.636
Cliente_RENAR MOVEIS LTDA,    6.0549,    1.020,    5.934, 0.000,    4.055,    8.055
"Cliente_RENAULT DO BRASIL S,A",    8.3412,    0.670,   12.445, 0.000,    7.027,    9.655
Cliente_RENNER SAYERLACK /S/A,    6.6379,    0.701,    9.468, 0.000,    5.264,    8.012
"Cliente_RENNER TEXTIL LTDA,",    5.3836,    1.013,    5.315, 0.000,    3.398,    7.369
"Cliente_RENUKA VALE DO IVAI S,A, - EM RECUPERACAO JUDICIAL",    5.4161,    1.050,    5.159, 0.000,    3.358,    7.474
Cliente_REPINHO REFLORESTADORA MADEIRAS E COMPENSADOS LTDA,    7.6739,    0.811,    9.463, 0.000,    6.084,    9.264
"Cliente_REQUIPH IND, E COM, DE EQUIPS, HIDRAULICOS LTDA",    7.6830,    1.012,    7.591, 0.000,    5.699,    9.667
Cliente_RESITOL INDUSTRIA QUIMICA LTDA,    5.3097,    1.020,    5.203, 0.000,    3.309,    7.310
Cliente_REVAL INDUSTRIA DE ARTEFATOS DE ARAME EIRELI,    6.0230,    1.034,    5.824, 0.000,    3.996,    8.050
"Cliente_REVEST PISOS E REVESTIMENTOS LTDA,",    5.8528,    1.204,    4.861, 0.000,    3.492,    8.213
"Cliente_RHODIA BRASIL S,A,",    7.5107,    1.012,    7.420, 0.000,    5.526,    9.495
Cliente_RHODIA POLIAMIDA E ESPECIALIDADES SA,    7.9072,    0.832,    9.509, 0.000,    6.277,    9.537
"Cliente_RIMO S,A -INDUSTRIA E COMERCIO",    7.6052,    0.971,    7.829, 0.000,    5.701,    9.510
Cliente_RIPASA S/A CELULOSE E PAPEL,    7.9769,    0.673,   11.846, 0.000,    6.657,    9.297
Cliente_ROBERT BOSCH DIRECAO AUTOMOTIVA LTDA,    7.8820,    1.012,    7.786, 0.000,    5.898,    9.866
Cliente_ROBERT BOSCH LIMITADA,    8.7806,    0.637,   13.784, 0.000,    7.532,   10.029
"Cliente_ROCA BRASIL LTDA,",    7.3614,    0.832,    8.853, 0.000,    5.731,    8.992
Cliente_ROHDEN PORTAS E ARTEFATOS DE MADEIRA LTDA,    6.8529,    0.773,    8.870, 0.000,    5.338,    8.367
Cliente_ROHDEN PORTAS E PAINEIS LTDA,    5.7385,    0.841,    6.826, 0.000,    4.091,    7.386
Cliente_ROLAMENTOS FAG LTDA,    7.2860,    1.012,    7.198, 0.000,    5.302,    9.270
Cliente_ROMA JENSEN COMERCIO E INDUSTRIA LTDA,    5.4622,    0.831,    6.570, 0.000,    3.832,    7.092
"Cliente_ROMAGNOLE PRODUTOS ELETRICOS S,A,",    6.6258,    0.684,    9.692, 0.000,    5.286,    7.966
"Cliente_ROMI S,A,",    8.3324,    0.635,   13.132, 0.000,    7.088,    9.576
Cliente_ROSSET & CIA LTDA,    7.7790,    0.762,   10.211, 0.000,    6.286,    9.272
Cliente_RUETTE SPICES LTDA,    6.2948,    1.013,    6.216, 0.000,    4.310,    8.280
Cliente_RYGY COELI CONFECCOES LTDA,    5.3916,    0.796,    6.772, 0.000,    3.831,    6.952
Cliente_SAB COMPANY LOGISTICA INTEGRADA S/A,    7.7531,    1.178,    6.580, 0.000,    5.443,   10.063
Cliente_SAB TRADING COMERCIAL EXPORTADORA S/A,    8.3495,    1.062,    7.863, 0.000,    6.268,   10.431
Cliente_SABO INDUSTRIA E COMERCIO DE AUTOPECAS LTDA,    6.3618,    0.624,   10.189, 0.000,    5.138,    7.586
Cliente_SAE TOWERS BRASIL TORRES DE TRANSMISSAO LTDA,    5.8576,    0.681,    8.608, 0.000,    4.524,    7.192
"Cliente_SAINT-GOBAIN VIDROS S,A,",    8.0174,    0.685,   11.704, 0.000,    6.674,    9.360
Cliente_SAMPEL INDUSTRIA LTDA,    6.4147,    0.701,    9.152, 0.000,    5.041,    7.789
Cliente_SAMPLA DO BRASIL INDUSTRIA E COMERCIO DE CORREIAS LTDA,    4.5347,    0.831,    5.454, 0.000,    2.905,    6.165
Cliente_SAMSUNG ELETRONICA DA AMAZONIA LTDA,    9.6121,    0.841,   11.436, 0.000,    7.964,   11.260
Cliente_SAMSUNG SDI BRASIL LTDA,    9.1627,    0.986,    9.288, 0.000,    7.229,   11.097
Cliente_SAN MARCOS REVESTIMENTOS CERAMICOS LTDA,    5.2130,    1.020,    5.109, 0.000,    3.213,    7.213
Cliente_SAN MARINO ONIBUS LTDA,    7.6908,    0.621,   12.390, 0.000,    6.474,    8.908
Cliente_SANGATI BERGA SA,    8.4828,    0.951,    8.916, 0.000,    6.618,   10.348
Cliente_SANOPLAST INDUSTRIA E COMERCIO DE PLASTICOS LTDA - ME,    2.6655,    1.042,    2.557, 0.011,    0.622,    4.709
Cliente_SANREMO S/A,    8.5659,    0.832,   10.291, 0.000,    6.934,   10.198
Cliente_SANRISIL S/A INDUSTRIA E COMERCIO,    7.1822,    0.724,    9.916, 0.000,    5.762,    8.602
Cliente_SANTA LAVINIA COMERCIO E EXPORTACAO LTDA,    5.5842,    0.979,    5.702, 0.000,    3.664,    7.504
Cliente_SANTHER FABRICA DE PAPEL SANTA THEREZINHA S/A,    6.7888,    0.673,   10.082, 0.000,    5.469,    8.109
"Cliente_SANTISTA PARTICIPACOES S,A,",    7.9059,    0.832,    9.508, 0.000,    6.276,    9.536
"Cliente_SANTISTA WORK SOLUTION S,A,",    7.6956,    0.673,   11.429, 0.000,    6.376,    9.016
Cliente_SANTO AMARO S/A IND E COM,    4.6939,    1.012,    4.637, 0.000,    2.710,    6.678
Cliente_SANTOS ANDIRA INDUSTRIA DE MOVEIS LTDA,    5.7061,    0.754,    7.565, 0.000,    4.227,    7.185
Cliente_SANTRON INDUSTRIAS ELETROELETRONICAS S/A,    7.9944,    0.873,    9.159, 0.000,    6.283,    9.706
"Cliente_SAO DOMINGOS S,A, INDUSTRIA GRAFICA",    6.8836,    0.831,    8.280, 0.000,    5.254,    8.513
Cliente_SARA LEE CAFES DO BRASIL LTDA,    6.9210,    0.832,    8.323, 0.000,    5.291,    8.551
Cliente_SAUR EQUIPAMENTOS S/A,    7.9707,    0.832,    9.576, 0.000,    6.339,    9.602
Cliente_SCA INDUSTRIA DE MOVEIS LTDA,    7.0477,    1.013,    6.958, 0.000,    5.062,    9.033
Cliente_SCANIA LATIN AMERICA LTDA,    9.5110,    0.610,   15.592, 0.000,    8.315,   10.707
"Cliente_SCHAEFFLER BRASIL LTDA,",    7.5579,    0.724,   10.433, 0.000,    6.138,    8.978
Cliente_SCHMIDT IRMAOS CALCADOS LTDA,    7.5267,    1.013,    7.430, 0.000,    5.541,    9.513
Cliente_SCHMITZ AGROINDUSTRIAL LTDA,    5.2037,    1.020,    5.100, 0.000,    3.203,    7.204
Cliente_SCHNEIDER ELECTRIC BRASIL LTDA,    8.1587,    0.762,   10.709, 0.000,    6.665,    9.652
Cliente_SCHULZ S/A,    7.3523,    0.622,   11.814, 0.000,    6.132,    8.572
Cliente_SCHWING EQUIPAMENTOS INDUSTRIAIS LTDA,    6.2939,    0.773,    8.138, 0.000,    4.778,    7.810
Cliente_SCM GROUP TECMATIC MAQUINAS E EQUIPAMENTOS LTDA,    6.3866,    1.020,    6.259, 0.000,    4.386,    8.387
Cliente_SEARA ALIMENTOS LTDA,    7.4893,    0.638,   11.747, 0.000,    6.239,    8.739
Cliente_SEARA COMERCIO DE ALIMENTOS LTDA,    5.9827,    0.629,    9.504, 0.000,    4.749,    7.217
Cliente_SEARA IND E COM DE PRODUTOS AGRO-PECUARIOS LTDA,    5.2414,    0.752,    6.973, 0.000,    3.768,    6.715
Cliente_SEIFUN COMERCIO E INDUSTRIA LTDA,    5.9255,    0.726,    8.160, 0.000,    4.502,    7.349
Cliente_SELCO VEDACOES DINAMICAS LTDA,    5.8206,    0.685,    8.499, 0.000,    4.478,    7.163
Cliente_SELECTAS S A INDUSTRIA E COMERCIO DE MADEIRAS,    6.1604,    1.050,    5.869, 0.000,    4.103,    8.218
"Cliente_SEMCO EQUIPAMENTOS DE REFRIGERACAO LTDA,",    6.3078,    0.768,    8.209, 0.000,    4.801,    7.814
Cliente_SEMCO EQUIPAMENTOS INDUSTRIAIS LTDA,    6.1915,    1.012,    6.117, 0.000,    4.207,    8.176
Cliente_SENDAS COMERCIO EXTERIOR S/A,    9.0460,    1.061,    8.526, 0.000,    6.966,   11.126
Cliente_SENSE ELETRONICA LTDA,    5.8503,    1.031,    5.675, 0.000,    3.829,    7.871
Cliente_SERRARIAS CAMPOS DE PALMAS SA,    5.5158,    0.754,    7.318, 0.000,    4.038,    6.993
Cliente_SEW-EURODRIVE BRASIL LTDA,    7.7132,    0.664,   11.608, 0.000,    6.411,    9.016
Cliente_SGM COMERCIO INDUSTRIA E EXPORTACAO LTDA,    4.4262,    1.051,    4.211, 0.000,    2.365,    6.487
Cliente_SIACDOBRASIL LTDA,    6.4525,    1.031,    6.258, 0.000,    4.431,    8.474
Cliente_SIDERURGICA CATARINENSE LTDA,    4.3300,    1.020,    4.243, 0.000,    2.330,    6.330
Cliente_SIDERURGICA SAO JOAQUIM S/A,    5.1979,    1.012,    5.135, 0.000,    3.213,    7.182
Cliente_SIEMENS ELETROELETRONICA S/A,    8.7197,    0.986,    8.839, 0.000,    6.786,   10.653
"Cliente_SIEMENS ENERGY BRASIL LTDA,",    9.3855,    0.637,   14.728, 0.000,    8.136,   10.635
Cliente_SIERRA MOVEIS LTDA,    6.3172,    0.674,    9.369, 0.000,    4.995,    7.639
Cliente_SIFCO S/A,    7.7127,    0.724,   10.646, 0.000,    6.292,    9.133
Cliente_SILIMED - INDUSTRIA DE IMPLANTES LTDA,    7.3661,    0.890,    8.278, 0.000,    5.622,    9.110
Cliente_SILPA PECAS E EQUIPAMENTOS LTDA,    7.4424,    1.013,    7.348, 0.000,    5.457,    9.428
"Cliente_SIMETALL IND, COM, FERRAMENTAS LTDA,",    5.6301,    0.727,    7.739, 0.000,    4.204,    7.056
Cliente_SIMISA SIMIONI METALURGICA LTDA EM RECUPERACAO JUDICIAL,    6.8016,    1.012,    6.719, 0.000,    4.817,    8.786
Cliente_SINCOL SA INDUSTRIA E COMERCIO,    5.2836,    0.712,    7.422, 0.000,    3.888,    6.679
Cliente_SITMED EQUIPAMENTOS MEDICOS LTDA,    6.8843,    1.036,    6.643, 0.000,    4.853,    8.916
"Cliente_SLC AGRICOLA S,A,",    8.0428,    1.013,    7.939, 0.000,    6.057,   10.029
"Cliente_SM PESCADOS INDUSTRIA , COMERCIO E EXPORTACAO LTDA - ME",    6.9447,    0.869,    7.991, 0.000,    5.241,    8.648
"Cliente_SNR ROLAMENTOS DO BRASIL LTDA,",    5.5705,    0.877,    6.353, 0.000,    3.852,    7.290
Cliente_SOBRAER - SONACA BRASILEIRA AERONAUTICA LTDA,    7.4823,    0.700,   10.682, 0.000,    6.109,    8.855
Cliente_SOBRAL INVICTA SOCIEDADE ANONIMA,    5.4945,    1.012,    5.428, 0.000,    3.510,    7.479
Cliente_SOCIEDADE MICHELIN DE PARTICIPACOES INDUST E COMERCIO L,    9.4878,    0.720,   13.173, 0.000,    8.076,   10.900
"Cliente_SOCIEDADE PAULISTA TUBOS FLEXIVEIS LTDA,",    5.1796,    0.762,    6.801, 0.000,    3.686,    6.673
"Cliente_SOFAPE FABRICANTE DE FILTROS S,A,",    6.8208,    0.629,   10.850, 0.000,    5.588,    8.053
Cliente_SOGEFI FILTRATION DO BRASIL LTDA,    8.2440,    0.762,   10.821, 0.000,    6.751,    9.737
Cliente_SOLABIA BIOTECNOLOGICA LTDA,    5.2240,    0.877,    5.958, 0.000,    3.505,    6.943
Cliente_SOLAR COMERCIO E AGROINDUSTRIA LTDA,    7.3959,    0.766,    9.659, 0.000,    5.895,    8.897
"Cliente_SOMA SOLUCOES MAGNETICAS INDUSTRIA E COMERCIO LTDA,",    6.9781,    0.651,   10.724, 0.000,    5.702,    8.254
Cliente_SOMELOS TECIDOS BRASIL LTDA,    5.7120,    1.020,    5.598, 0.000,    3.712,    7.712
Cliente_SONOCO FOR PLAS SA,    6.1597,    1.012,    6.085, 0.000,    4.175,    8.144
Cliente_SOPRANO INDUSTRIA DE EQUIPAMENTOS OLEODINAMICOS LTDA,    7.4555,    1.235,    6.038, 0.000,    5.035,    9.876
Cliente_SOPRANO INDUSTRIA ELETROMETALURGICA LTDA,    7.8248,    0.763,   10.256, 0.000,    6.329,    9.320
"Cliente_SOROSISTEM MATERIAIS COMPOSTOS S,A,",    7.0354,    0.621,   11.324, 0.000,    5.817,    8.253
Cliente_SOUTH SERVICE TRADING SA,    7.8155,    0.631,   12.376, 0.000,    6.578,    9.053
Cliente_SOYCOMEX COMERCIAL E EXPORTADORA LTDA,    8.3165,    1.050,    7.922, 0.000,    6.258,   10.375
Cliente_SPECIAL FRUIT IMPORTACAO E EXPORTACAO LTDA,    7.3539,    1.036,    7.095, 0.000,    5.322,    9.386
"Cliente_STARA S,A, - INDUSTRIA DE IMPLEMENTOS AGRICOLAS",    8.5172,    0.633,   13.445, 0.000,    7.275,    9.759
Cliente_STARRETT INDUSTRIA E COMERCIO LTDA,    6.5232,    0.832,    7.845, 0.000,    4.893,    8.153
Cliente_STEMAC SA GRUPOS GERADORES EM RECUPERACAO JUDICIAL,    8.6494,    0.599,   14.436, 0.000,    7.475,    9.824
"Cliente_STIHL FERRAMENTAS MOTORIZADAS LTDA,",    8.9036,    0.653,   13.637, 0.000,    7.624,   10.184
Cliente_STOLLER DO BRASIL LTDA,    5.2679,    1.012,    5.204, 0.000,    3.283,    7.252
Cliente_SUCOCITRICO CUTRALE LTDA,    9.0887,    1.013,    8.974, 0.000,    7.103,   11.074
Cliente_SUD-CHEMIE DO BRASIL LTDA,    5.4712,    1.024,    5.343, 0.000,    3.464,    7.479
Cliente_SUDES IMPORTACAO E EXPORTACAO LTDA,    7.7460,    0.832,    9.306, 0.000,    6.114,    9.378
"Cliente_SUGAR SHOES INDUSTRIA DE CALCADOS LTDA,",    6.7572,    1.113,    6.070, 0.000,    4.575,    8.940
Cliente_SUGAR SHOES LTDA,    7.2247,    0.701,   10.299, 0.000,    5.850,    8.600
Cliente_SUL AMERICANA DE CADERNOS IND E COM LTDA,    5.7511,    0.763,    7.540, 0.000,    4.256,    7.246
Cliente_SUL VALLE ALIMENTOS LTDA,    6.9164,    1.020,    6.778, 0.000,    4.916,    8.917
Cliente_SULAMERICANA INDUSTRIAL LTDA,    5.1978,    1.012,    5.135, 0.000,    3.214,    7.182
Cliente_SULMAQ INDUSTRIAL E COMERCIAL SA,    7.4306,    0.686,   10.831, 0.000,    6.086,    8.776
Cliente_SULZER BRASIL S A,    7.2011,    0.629,   11.455, 0.000,    5.969,    8.434
Cliente_SUN CHEMICAL DO BRASIL LTDA,    7.5127,    1.012,    7.421, 0.000,    5.528,    9.497
Cliente_SUSIN FRANCESCUTTI METALURGICA LTDA,    7.1155,    0.674,   10.564, 0.000,    5.795,    8.436
"Cliente_SUZANO S,A,",    8.6198,    0.688,   12.522, 0.000,    7.270,    9.969
"Cliente_SV COUROS IMPORTADORA E EXPORTADORA LTDA, - ME",    6.9270,    1.043,    6.639, 0.000,    4.881,    8.973
Cliente_TACOSOLA BORRACHAS LTDA,    7.0775,    1.013,    6.987, 0.000,    5.092,    9.063
Cliente_TANAC SA,    6.8348,    0.633,   10.790, 0.000,    5.593,    8.077
Cliente_TAPETES LOURDES LTDA,    5.1781,    0.685,    7.561, 0.000,    3.836,    6.521
"Cliente_TAURUS ARMAS S,A,",    7.7779,    0.832,    9.344, 0.000,    6.146,    9.410
Cliente_TAURUS MAQUINAS-FERRAMENTA LTDA,    7.8559,    1.013,    7.755, 0.000,    5.870,    9.842
Cliente_TBM - TEXTIL BEZERRA DE MENEZES S/A,    7.0476,    0.817,    8.623, 0.000,    5.445,    8.650
"Cliente_TDK ELECTRONICS DO BRASIL LTDA,",    8.4831,    0.631,   13.434, 0.000,    7.245,    9.721
Cliente_TEADIT INDUSTRIA E COMERCIO LTDA,    9.3116,    1.061,    8.779, 0.000,    7.232,   11.391
Cliente_TEAR TEXTIL INDUSTRIA E COMERCIO LTDA,    4.6608,    1.031,    4.521, 0.000,    2.640,    6.682
Cliente_TECELAGEM SAO CARLOS SA,    6.4630,    0.762,    8.486, 0.000,    4.970,    7.956
"Cliente_TECHNICOLOR BRASIL MIDIA E ENTRETENIMENTO LTDA,",    8.0505,    1.143,    7.044, 0.000,    5.810,   10.291
"Cliente_TECIDOS FIAMA LTDA,",    5.5157,    0.831,    6.634, 0.000,    3.886,    7.146
Cliente_TECNICAS ELETRO MECANICAS TELEM S/A,    4.6231,    0.840,    5.500, 0.000,    2.975,    6.271
Cliente_TECNOEVA TECNOLOGIA EM EVA LTDA,    6.8532,    1.013,    6.766, 0.000,    4.867,    8.839
Cliente_TECNOMOTOR ELETRONICA DO BRASIL S/A,    5.4641,    1.012,    5.398, 0.000,    3.480,    7.448
Cliente_TECNOVIN DO BRASIL LTDA,    7.6448,    0.653,   11.709, 0.000,    6.365,    8.925
Cliente_TECUMSEH DO BRASIL LTDA,    7.0702,    0.612,   11.548, 0.000,    5.870,    8.270
Cliente_TEDESCO COMERCIAL EXPORTADORA S/A,    5.3535,    0.841,    6.362, 0.000,    3.704,    7.003
"Cliente_TEKNIA TECNOTUBO AUTOMOTIVE LTDA,",    7.5649,    1.012,    7.474, 0.000,    5.581,    9.549
Cliente_TEKSID DO BRASIL LTDA,    7.9197,    0.657,   12.056, 0.000,    6.632,    9.207
Cliente_TELASUL SA,    7.5634,    0.725,   10.426, 0.000,    6.141,    8.985
"Cliente_TELCON FIOS E CABOS PARA TELECOMUNICACOES S/A,",    7.0167,    0.647,   10.850, 0.000,    5.749,    8.284
Cliente_TEMASA INDUSTRIA DE MOVEIS LTDA,    5.8552,    0.713,    8.215, 0.000,    4.458,    7.252
Cliente_TENNISCORD INDUSTRIA DE CORDAS LTDA,    6.5457,    1.012,    6.466, 0.000,    4.561,    8.530
Cliente_TERMICA INDUSTRIA E COMERCIO DE EMBALAGENS LTDA - ME,    5.3258,    1.061,    5.022, 0.000,    3.247,    7.405
Cliente_TERMOMECANICA SAO PAULO S A,    8.1684,    1.012,    8.069, 0.000,    6.184,   10.153
Cliente_TERMOPAR IMPORT LTDA,    6.6958,    0.896,    7.476, 0.000,    4.940,    8.451
Cliente_TERRA E AGUA INDUSTRIA DE CALCADOS LTDA,    6.5170,    1.013,    6.434, 0.000,    4.531,    8.503
Cliente_TERRANOVA BRASIL LTDA,    7.6692,    0.709,   10.809, 0.000,    6.278,    9.060
"Cliente_TERRAS DE AVENTURA INDUSTRIA DE ARTIGOS ESPORTIVOS S,A",    6.9521,    0.889,    7.819, 0.000,    5.209,    8.695
Cliente_TEXTIL DALUTEX LTDA,    5.5463,    0.831,    6.671, 0.000,    3.916,    7.176
"Cliente_TEXTIL FARBE S,A",    6.0259,    0.736,    8.190, 0.000,    4.583,    7.468
Cliente_TEXTIL ITATIBA LTDA,    6.2702,    1.031,    6.082, 0.000,    4.249,    8.291
Cliente_TGM INDUSTRIA E COMERCIO DE TURBINAS E TRANSMISSOES LTD,    7.0454,    0.625,   11.270, 0.000,    5.820,    8.271
"Cliente_THOR GRANITOS E MARMORES LTDA,",    7.1064,    1.061,    6.700, 0.000,    5.027,    9.186
Cliente_THYSSENKRUPP ELEVADORES SA,    8.1179,    0.832,    9.752, 0.000,    6.486,    9.750
Cliente_THYSSENKRUPP METALURGICA CAMPO LIMPO LTDA,   10.0398,    0.657,   15.271, 0.000,    8.751,   11.329
Cliente_TICEL EQUIPAMENTOS LTDA,    6.0564,    0.702,    8.628, 0.000,    4.680,    7.433
"Cliente_TIGRE MATERIAIS E SOLUCOES PARA CONSTRUCAO LTDA,",    9.7156,    1.020,    9.521, 0.000,    7.715,   11.716
"Cliente_TIGRE S,A, PARTICIPACOES",    7.2125,    0.677,   10.657, 0.000,    5.886,    8.539
"Cliente_TIMBAUBA S,A,",    9.3586,    1.083,    8.640, 0.000,    7.235,   11.482
Cliente_TINTO HOLDING LTDA,    7.6893,    0.609,   12.619, 0.000,    6.495,    8.884
Cliente_TITAN PNEUS DO BRASIL LTDA,    7.4208,    0.685,   10.833, 0.000,    6.078,    8.764
Cliente_TM BEVO INDUSTRIA E COMERCIO DE MAQUINAS OPERATRIZES LT,    5.6592,    1.012,    5.591, 0.000,    3.675,    7.643
"Cliente_TMD FRICTION DO BRASIL S,A,",    6.6186,    0.685,    9.662, 0.000,    5.276,    7.962
Cliente_TMSA - TECNOLOGIA EM MOVIMENTACAO S/A,    8.9545,    1.013,    8.840, 0.000,    6.969,   10.940
Cliente_TMT DO BRASIL LTDA,    8.3707,    0.877,    9.546, 0.000,    6.652,   10.090
Cliente_TOIGO MOVEIS LTDA,    7.4795,    0.725,   10.312, 0.000,    6.058,    8.901
Cliente_TOLEDO DO BRASIL INDUSTRIA DE BALANCAS LTDA,    5.8639,    0.701,    8.364, 0.000,    4.490,    7.238
Cliente_TOLEDO MINERACAO LTDA,    5.7724,    1.178,    4.900, 0.000,    3.463,    8.082
Cliente_TOME S/A INDUSTRIA DE AUTO PECAS,    7.3545,    0.832,    8.836, 0.000,    5.723,    8.986
Cliente_TOP LEATHER SINTETICOS INDUSTRIA E COMERCIO LTDA,    5.6243,    1.012,    5.557, 0.000,    3.640,    7.609
Cliente_TORLIM INDUSTRIA FRIGORIFICA LTDA,    6.3430,    1.063,    5.965, 0.000,    4.258,    8.428
"Cliente_TOTVS LARGE ENTERPRISE TECNOLOGIA S,A,",    4.8127,    0.754,    6.380, 0.000,    3.334,    6.291
Cliente_TOYOTA DO BRASIL LTDA,   10.7649,    1.012,   10.634, 0.000,    8.780,   12.749
Cliente_TRABLIN TRADING BRASILEIRA DE LIGAS E INOCULANTES S/A,    6.0169,    1.014,    5.933, 0.000,    4.029,    8.005
"Cliente_TRACOMAL MINERACAO S,A",    7.2651,    1.188,    6.114, 0.000,    4.936,    9.595
Cliente_TRAMONTINA BELEM SA,    3.9652,    1.052,    3.770, 0.000,    1.904,    6.027
"Cliente_TRAMONTINA ELETRIK S,A,",    6.1824,    1.013,    6.103, 0.000,    4.197,    8.168
Cliente_TRAMONTINA FARROUPILHA SA INDUSTRIA METALURGICA,    7.3630,    0.644,   11.427, 0.000,    6.100,    8.626
Cliente_TRAMONTINA GARIBALDI SA INDUSTRIA METALURGICA,    6.8686,    1.013,    6.781, 0.000,    4.883,    8.854
Cliente_TRAMONTINA MULTI S/A,    7.6741,    0.832,    9.219, 0.000,    6.042,    9.306
Cliente_TRAMONTINA SA CUTELARIA,    7.8279,    0.619,   12.655, 0.000,    6.615,    9.041
"Cliente_TRAMONTINA TEEC S/A,",    5.6385,    0.763,    7.392, 0.000,    4.143,    7.134
Cliente_TRANSCOR IND DE PIGMENTOS E CORANTES LTDA,    4.9469,    1.012,    4.887, 0.000,    2.962,    6.931
"Cliente_TRANSFORMADORES E SERVICOS DE ENERGIA DAS AMERICAS S,A,",    7.2594,    0.728,    9.974, 0.000,    5.832,    8.686
Cliente_TREBOLL MOVEIS LTDA,    7.1249,    0.763,    9.342, 0.000,    5.630,    8.620
"Cliente_TRES MARIAS EXPORTACAO, IMPORTACAO LTDA",    6.4133,    1.012,    6.336, 0.000,    4.429,    8.397
"Cliente_TRIANGULO PISOS E PAINEIS LTDA,",    6.4447,    0.811,    7.947, 0.000,    4.855,    8.034
Cliente_TRINYS INDUSTRIA E COMERCIO LTDA,    5.0173,    1.012,    4.957, 0.000,    3.033,    7.001
Cliente_TRITEC INDUSTRIAL LTDA,    5.6500,    1.020,    5.537, 0.000,    3.650,    7.650
Cliente_TROPFRUIT NORDESTE SA,    3.1179,    0.662,    4.707, 0.000,    1.819,    4.417
Cliente_TROPIC WEAR CONFECCOES LTDA,    4.3369,    1.034,    4.194, 0.000,    2.310,    6.364
Cliente_TROPICAL INDUSTRIA DE ALIMENTOS S/A,    5.1271,    0.879,    5.834, 0.000,    3.404,    6.850
Cliente_TRUTZSCHLER INDUSTRIA E COMERCIO DE MAQUINAS LTDA,    6.6826,    0.877,    7.621, 0.000,    4.964,    8.402
Cliente_TTB INDUSTRIA E COMERCIO DE PRODUTOS METALICOS LTDA,    5.8168,    1.012,    5.747, 0.000,    3.833,    7.801
